epc	name
0x000000000000000000000004	伊右衛門（PET500ml）
0x000000000000000000000040	伊右衛門（PET500ml）
0x000000000000000000000008	炭酸水（PET500ml）
0x000000000000000000000012	炭酸水（PET500ml）
0x000000000000000000002200	カップヌードル1
0x000000000000000000002201	カップヌードル1
0x000000000000000000001100	弁当0
0x000000000000000000001111	弁当0
0x000000000000000000001106	弁当1
0x000000000000000000001112	弁当1
0x000000000000000000000030	おにぎり（丸型）1
0x000000000000000000000031	おにぎり（丸型）1
0x000000000000000000000032	おにぎり（丸型）1
0x000000000000000000000006	おにぎり（三角型）1
0x000000000000000000000036	おにぎり（三角型）1
0x000000000000000000000038	おにぎり（三角型）1
0x000000000000000000000034	豆乳
0x000000000000000000000035	チロルチョコ1
0x000000000000000000000039	チロルチョコ1
0x000000000000000000000033	缶コーヒー1
0x000000000000000000000015	レモンティー（紙パック500ml）
0x000000000000000000000003	缶コーヒー2
0x000000000000000000000041	ポテチ1
0x000000000000000000000042	ヨーグルト（カップ）
0x000000000000000000000043	野菜ジュース
0x000000000000000000000044	ギャッツビー（スプレー缶）
0x000000000000000000000045	瓶ビール
0x000000000000000000000046	ポテチ2
0x000000000000000000000047	ボス（ボトル缶コーヒー）
0x000000000000000000000048	たけのこの里1
0x000000000000000000000049	プリングルス
0x000000000000000000000050	ガム1
0x000000000000000000000051	リポビタンD1
0x000000000000000000000052	うまい棒
0x000000000000000000000053	缶詰（平型）1
0x000000000000000000000054	どん兵衛
0x000000000000000000003301	チロルチョコ2
0x000000000000000000003302	チロルチョコ2
0x000000000000000000003303	チロルチョコ3
0x000000000000000000003304	チロルチョコ3
0x000000000000000000003305	缶コーヒー3
0x000000000000000000003306	たけのこの里2
0x000000000000000000003307	たけのこの里3
0x000000000000000000003308	ガム2
0x000000000000000000003309	ガム3
0x000000000000000000003310	リポビタンD2
0x000000000000000000003311	リポビタンD3
0x000000000000000000003312	缶詰（平型）2
0x000000000000000000003313	缶詰（平型）3
0x000000000000000000003314	天然水（PET2L）2
0x000000000000000000003315	天然水（PET2L）2
0x000000000000000000003316	天然水（PET2L）3
0x000000000000000000003317	天然水（PET2L）3
0x000000000000000000003318	ビニール傘2
0x000000000000000000003319	ビニール傘3
0x000000000000000000003320	ポテチ3
0x000000000000000000003321	豆乳抹茶
0x000000000000000000003322	チョコHM22
0x000000000000000000003323	チョコHM23
0x000000000000000000003324	チョコHM24
0x000000000000000000003325	チョコHM25
0x000000000000000000003326	チョコB1
0x000000000000000000003327	チョコB2
0x000000000000000000003328	チョコB3
0x000000000000000000003329	チョコB4
0x000000000000000000003330	チョコB5
0x000000000000000000003331	チョコB6
0x000000000000000000003332	プラレールチョコ（エリア2）
0x000000000000000000003333	プラレールチョコ（エリア3）
0x000000000000000000003334	チョコB9
0x000000000000000000003335	チョコB10
0x000000000000000000003336	チョコB11
0x000000000000000000003337	チョコB12
0x000000000000000000003338	チョコB13
0x000000000000000000003339	チョコB14
0x000000000000000000003340	チョコB15
0x000000000000000000003341	チョコB16
0x000000000000000000003342	チョコB17
0x000000000000000000003343	チョコB18
0x000000000000000000003344	チョコB19
0x000000000000000000003345	チョコB20
0x000000000000000000003346	チョコB21
0x000000000000000000003347	チョコB22
0x000000000000000000003348	チョコB23
0x000000000000000000003349	チョコB24
0x000000000000000000003350	チョコB25
0x000000000000000000003351	チョコM1
0x000000000000000000003352	チョコM2
0x000000000000000000003353	チョコM3
0x000000000000000000003354	チョコM4
0x000000000000000000003355	チョコM5
0x000000000000000000003356	チョコM6
0x000000000000000000003357	チョコM7
0x000000000000000000003358	チョコM8
0x000000000000000000003359	チョコM9
0x000000000000000000003360	チョコM10
0x000000000000000000003361	チョコM11
0x000000000000000000003362	チョコM12
0x000000000000000000003363	チョコM13
0x000000000000000000003364	チョコM14
0x000000000000000000003365	チョコM15
0x000000000000000000003366	チョコM16
0x000000000000000000003367	チョコM17
0x000000000000000000003368	チョコM18
0x000000000000000000003369	チョコM19
0x000000000000000000003370	チョコM20
0x000000000000000000003371	チョコM21
0x000000000000000000003372	チョコM22
0x000000000000000000003373	チョコM23
0x000000000000000000003374	チョコM24
0x000000000000000000003375	チョコM25
0x000000000000000000003376	チョコS1
0x000000000000000000003377	チョコS2
0x000000000000000000003378	チョコS3
0x000000000000000000003379	チョコS4
0x000000000000000000003380	チョコS5
0x000000000000000000003381	チョコS6
0x000000000000000000003382	チョコS7
0x000000000000000000003383	チョコS8
0x000000000000000000003384	チョコS9
0x000000000000000000003385	チョコS10
0x000000000000000000003386	チョコS11
0x000000000000000000003387	チョコS12
0x000000000000000000003388	チョコS13
0x000000000000000000003389	チョコS14
0x000000000000000000003390	チョコS15
0x000000000000000000003391	チョコS16
0x000000000000000000003392	チョコS17
0x000000000000000000003393	チョコS18
0x000000000000000000003394	チョコS19
0x000000000000000000003395	チョコS20
0x000000000000000000003396	チョコS21
0x000000000000000000003397	チョコS22
0x000000000000000000003398	チョコS23
0x000000000000000000003399	チョコS24
0x000000000000000000003400	チョコS25
0x000000000000000000001101	パン1
0x000000000000000000001105	パン1
0x000000000000000000001103	パン2
0x000000000000000000001107	パン2
0x000000000000000000001113	パン3
0x000000000000000000001114	パン3
0x000000000000000000001115	弁当2
0x000000000000000000001116	弁当2
0x000000000000000000001117	弁当3
0x000000000000000000001118	弁当3
0x000000000000000000001119	パン6
0x000000000000000000001120	パン6
0x000000000000000000001121	プラレールAZタグ（エリア2）
0x000000000000000000001122	プラレールAZタグ（エリア3）
0x000000000000000000001123	パン8
0x000000000000000000001124	パン8
0x000000000000000000001125	パン9
0x000000000000000000001126	パン9
0x000000000000000000001127	パン10
0x000000000000000000001128	パン10
0x000000000000000000002204	新聞1
0x000000000000000000002205	新聞1
0x000000000000000000002211	新聞2
0x000000000000000000002212	新聞2
0x000000000000000000002213	新聞3
0x000000000000000000002214	新聞3
0x000000000000000000002215	新聞4
0x000000000000000000002216	新聞4
0x000000000000000000002217	新聞5
0x000000000000000000002218	新聞5
0x000000000000000000002219	新聞6
0x000000000000000000002220	新聞6
0x000000000000000000002221	新聞7
0x000000000000000000002222	新聞7
0x000000000000000000002223	新聞8
