csv,epc,type,rssi
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,count,14.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,mean,-48.82142857142857
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,std,4.909203064171895
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,min,-59.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,25%,-51.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,50%,-48.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,75%,-46.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x000000000000000000007111,max,-40.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,count,33.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,mean,-57.81818181818182
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,std,0.7269175268963397
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,min,-59.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,25%,-58.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,50%,-57.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,75%,-57.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030345621433593470064,max,-57.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,count,2.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,mean,-60.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,std,1.4142135623730951
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,min,-61.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,25%,-60.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,50%,-60.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,75%,-59.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101030545250181001920072,max,-59.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,count,5.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,mean,-61.1
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,std,1.2942179105544787
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,min,-62.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,25%,-61.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,50%,-61.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,75%,-61.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149010851927570201,max,-59.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,count,4.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,mean,-60.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,std,0.9574271077563381
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,min,-61.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,25%,-61.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,50%,-61.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,75%,-60.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101050149019014951230149,max,-59.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,count,2.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,mean,-61.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,std,1.0606601717798212
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,min,-62.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,25%,-62.125
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,50%,-61.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,75%,-61.375
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x101060145320240633350249,max,-61.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,count,2.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,mean,-69.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,std,0.3535533905932738
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,min,-69.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,25%,-69.375
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,50%,-69.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,75%,-69.125
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249017772789051840,max,-69.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020249021021046921844,count,2.0
