csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,count,25.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,mean,-41.74
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,std,4.648297179254643
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,min,-49.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,25%,-44.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,50%,-42.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,75%,-39.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000002009,max,-33.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,count,9.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,mean,-63.388888888888886
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,std,2.232960167829044
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,min,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,25%,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,50%,-63.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,75%,-62.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004001,max,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,count,8.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,mean,-62.1875
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,std,2.6040833319999575
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,min,-66.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,25%,-63.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,50%,-62.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x000000000000000000004003,75%,-60.875
