MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:40:08 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006101,1514450395.617,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450395.642,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450395.695,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450395.789,0,-30,0,1,21.00,3
0x000000000000000000006101,1514450395.820,0,-30,0,1,21.00,3
0x000000000000000000006101,1514450395.870,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450395.901,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450395.943,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450395.986,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450396.039,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450396.136,0,-31,0,1,21.00,3
0x000000000000000000006101,1514450396.184,0,-31,0,1,21.00,3
0x000000000000000000006101,1514450396.218,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450396.272,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450396.309,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450396.344,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450396.428,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450396.472,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450396.598,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450396.623,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450396.661,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450396.679,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450396.826,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450396.864,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450396.907,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450396.954,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450397.047,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450397.097,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450397.228,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450397.279,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450397.317,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450397.374,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450397.442,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450397.485,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450397.618,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450397.645,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450397.684,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450397.714,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450397.886,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450397.919,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450397.963,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450398.009,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450398.159,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450398.200,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450398.246,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450398.350,0,-26,0,1,21.00,1
0x000000000000000000006101,1514450398.503,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450398.546,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450398.677,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450398.707,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450398.751,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450398.788,0,-26,0,1,21.00,1
