MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:39:53 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006101,1514450379.532,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450379.564,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450379.601,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450379.641,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450379.697,0,-27,0,1,21.00,3
0x000000000000000000006101,1514450379.748,0,-27,0,1,21.00,3
0x000000000000000000006101,1514450379.800,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450379.851,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450379.905,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450379.937,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450379.989,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450380.091,0,-27,0,1,21.00,3
0x000000000000000000006101,1514450380.136,0,-27,0,1,21.00,3
0x000000000000000000006101,1514450380.196,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450380.249,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450380.305,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450380.333,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450380.367,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450380.404,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450380.450,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450380.494,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450380.550,0,-22,0,1,21.00,4
0x000000000000000000006101,1514450380.583,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450380.634,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450380.663,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450380.707,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450380.746,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450380.790,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450380.872,0,-29,0,1,21.00,3
0x000000000000000000006101,1514450380.898,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450380.931,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450380.964,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450381.008,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450381.068,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450381.132,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450381.161,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450381.202,0,-30,0,1,21.00,3
0x000000000000000000006101,1514450381.255,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450381.287,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450381.321,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450381.351,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450381.394,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450381.448,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450381.484,0,-27,0,1,21.00,3
0x000000000000000000006101,1514450381.539,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450381.592,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450381.621,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450381.658,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450381.694,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450381.731,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450381.773,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450381.817,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450381.873,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450381.929,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450381.972,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450382.014,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450382.057,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450382.104,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450382.141,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450382.198,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450382.237,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450382.284,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450382.316,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450382.362,0,-23,0,1,21.00,2
0x000000000000000000006101,1514450382.401,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450382.448,0,-27,0,1,21.00,3
0x000000000000000000006101,1514450382.493,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450382.548,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450382.578,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450382.615,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450382.631,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450382.684,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450382.706,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450382.750,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450382.816,0,-29,0,1,21.00,3
0x000000000000000000006101,1514450382.849,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450382.877,0,-24,0,1,21.00,4
0x000000000000000000006101,1514450382.915,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450382.961,0,-23,0,1,21.00,1
0x000000000000000000006101,1514450383.002,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450383.105,0,-30,0,1,21.00,3
0x000000000000000000006101,1514450383.145,0,-30,0,1,21.00,3
0x000000000000000000006101,1514450383.181,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450383.204,0,-23,0,1,21.00,4
0x000000000000000000006101,1514450383.242,0,-25,0,1,21.00,1
0x000000000000000000006101,1514450383.287,0,-24,0,1,21.00,1
0x000000000000000000006101,1514450383.349,0,-29,0,2,21.00,3
0x000000000000000000006101,1514450383.392,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450383.447,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450383.497,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450383.561,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450383.591,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450383.649,0,-25,0,2,21.00,2
0x000000000000000000006101,1514450383.671,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450383.718,0,-28,0,2,21.00,3
0x000000000000000000006101,1514450383.759,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450383.819,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450383.869,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450383.920,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450383.943,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450383.981,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450384.027,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450384.084,0,-28,0,2,21.00,3
0x000000000000000000006101,1514450384.163,0,-28,0,2,21.00,3
0x000000000000000000006101,1514450384.195,0,-24,0,2,21.00,4
0x000000000000000000006101,1514450384.239,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450384.288,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450384.317,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450384.351,0,-22,0,2,21.00,2
0x000000000000000000006101,1514450384.400,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450384.456,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450384.497,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450384.549,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450384.594,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450384.643,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450384.688,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450384.722,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450384.767,0,-22,0,2,21.00,2
0x000000000000000000006101,1514450384.826,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450384.866,0,-28,0,2,21.00,3
0x000000000000000000006101,1514450384.915,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450384.953,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450385.002,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450385.047,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450385.087,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450385.130,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450385.181,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450385.214,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450385.269,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450385.302,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450385.335,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450385.365,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450385.399,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450385.485,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450385.578,0,-28,0,2,21.00,3
0x000000000000000000006101,1514450385.640,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450385.688,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450385.749,0,-22,0,2,21.00,2
0x000000000000000000006101,1514450385.802,0,-23,0,2,21.00,2
0x000000000000000000006101,1514450385.888,0,-30,0,2,21.00,3
0x000000000000000000006101,1514450385.923,0,-30,0,2,21.00,3
0x000000000000000000006101,1514450385.965,0,-22,0,2,21.00,4
0x000000000000000000006101,1514450385.991,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450386.030,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450386.057,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450386.095,0,-21,0,2,21.00,2
0x000000000000000000006101,1514450386.148,0,-22,0,2,21.00,2
0x000000000000000000006101,1514450386.189,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450386.235,0,-27,0,2,21.00,3
0x000000000000000000006101,1514450386.287,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450386.315,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450386.369,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450386.395,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450386.431,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450386.477,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450386.531,0,-28,0,2,21.00,3
0x000000000000000000006101,1514450386.616,0,-29,0,2,21.00,3
0x000000000000000000006101,1514450386.679,0,-24,0,2,21.00,4
0x000000000000000000006101,1514450386.729,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450386.765,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450386.826,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450386.867,0,-24,0,2,21.00,2
0x000000000000000000006101,1514450386.920,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450386.959,0,-23,0,2,21.00,4
0x000000000000000000006101,1514450386.996,0,-25,0,2,21.00,1
0x000000000000000000006101,1514450387.041,0,-24,0,2,21.00,1
0x000000000000000000006101,1514450387.101,0,-26,0,2,21.00,2
0x000000000000000000006101,1514450387.139,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450387.288,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450387.325,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450387.364,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450387.409,0,-25,0,3,21.00,1
0x000000000000000000006101,1514450387.466,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450387.505,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450387.641,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450387.677,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450387.726,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450387.754,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450387.787,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450387.828,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450387.987,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.025,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.064,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450388.090,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450388.126,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450388.186,0,-25,0,3,21.00,2
0x000000000000000000006101,1514450388.236,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.261,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.304,0,-25,0,3,21.00,1
0x000000000000000000006101,1514450388.328,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450388.366,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450388.400,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450388.456,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.487,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.533,0,-26,0,3,21.00,1
0x000000000000000000006101,1514450388.562,0,-26,0,3,21.00,1
0x000000000000000000006101,1514450388.600,0,-23,0,3,21.00,2
0x000000000000000000006101,1514450388.635,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450388.690,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.719,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.774,0,-24,0,3,21.00,1
0x000000000000000000006101,1514450388.803,0,-25,0,3,21.00,1
0x000000000000000000006101,1514450388.837,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450388.871,0,-24,0,3,21.00,2
0x000000000000000000006101,1514450388.925,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450388.976,0,-23,0,3,21.00,4
0x000000000000000000006101,1514450389.022,0,-25,0,3,21.00,1
0x000000000000000000006101,1514450389.048,0,-25,0,3,21.00,1
0x000000000000000000006101,1514450389.085,0,-24,0,3,21.00,2
0x000000000000000000001111,1514450379.612,0,-34,0,1,21.00,2
0x000000000000000000001111,1514450379.663,0,-34,0,1,21.00,2
0x000000000000000000001265,1514450379.622,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450379.673,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450379.715,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450379.779,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450379.803,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450379.847,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450380.003,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450380.067,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450380.130,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450380.199,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450380.250,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450380.392,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450380.418,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450380.464,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450380.508,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450380.549,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450380.588,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450380.725,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450380.770,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450380.803,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450380.883,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450380.926,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450381.084,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450381.123,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450381.258,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450381.288,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450381.410,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450381.458,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450381.598,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450381.623,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450381.755,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450381.787,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450381.857,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450381.902,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450381.926,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450381.967,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450382.122,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450382.169,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450382.199,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450382.240,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450382.385,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450382.424,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450382.473,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450382.510,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450382.546,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450382.580,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450382.694,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450382.730,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450382.772,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450382.831,0,-33,0,1,21.00,3
0x000000000000000000001265,1514450382.874,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450383.012,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450383.053,0,-31,0,1,21.00,2
0x000000000000000000001265,1514450383.180,0,-29,0,1,21.00,4
0x000000000000000000001265,1514450383.208,0,-28,0,1,21.00,4
0x000000000000000000001265,1514450383.372,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450383.428,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450383.450,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450383.504,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450383.638,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450383.688,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450383.744,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450383.783,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450383.817,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450383.872,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450383.997,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450384.060,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450384.197,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450384.235,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450384.378,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450384.418,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450384.479,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450384.517,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450384.551,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450384.590,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450384.742,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450384.783,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450384.837,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450384.891,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450384.918,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450384.957,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450385.119,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450385.155,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450385.198,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450385.244,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450385.274,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450385.300,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450385.417,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450385.471,0,-31,0,2,21.00,2
0x000000000000000000001265,1514450385.539,0,-33,0,2,21.00,3
0x000000000000000000001265,1514450385.590,0,-28,0,2,21.00,4
0x000000000000000000001265,1514450385.643,0,-29,0,2,21.00,4
0x000000000000000000001265,1514450385.774,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450385.815,0,-32,0,2,21.00,2
0x000000000000000000001265,1514450385.873,0,-34,0,2,21.00,3
0x000000000000000000001265,1514450385.948,0,-34,0,2,21.00,3
0x000000000000000000001265,1514450385.992,0,-28,0,2,21.00,4
