MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:31:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006101,1514449847.071,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449847.120,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449847.207,0,-29,0,1,21.00,4
0x000000000000000000006101,1514449847.259,0,-29,0,1,21.00,4
0x000000000000000000006101,1514449847.551,0,-29,0,1,21.00,4
0x000000000000000000006101,1514449847.606,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449847.790,0,-29,0,1,21.00,4
0x000000000000000000006101,1514449847.847,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449848.048,0,-31,0,1,21.00,2
0x000000000000000000006101,1514449848.099,0,-31,0,1,21.00,2
0x000000000000000000006101,1514449848.153,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449848.207,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449848.393,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449848.476,0,-31,0,1,21.00,4
0x000000000000000000006101,1514449848.663,0,-29,0,1,21.00,4
0x000000000000000000006101,1514449848.843,0,-31,0,1,21.00,4
0x000000000000000000006101,1514449848.878,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449848.975,0,-31,0,1,21.00,2
0x000000000000000000006101,1514449848.999,0,-31,0,1,21.00,2
0x000000000000000000006101,1514449849.157,0,-31,0,1,21.00,4
0x000000000000000000006101,1514449849.194,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449849.367,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449849.427,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449849.608,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449849.682,0,-31,0,1,21.00,4
0x000000000000000000006101,1514449849.877,0,-31,0,1,21.00,2
0x000000000000000000006101,1514449850.018,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.068,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.152,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.241,0,-31,0,1,21.00,4
0x000000000000000000006101,1514449850.339,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.421,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.504,0,-31,0,1,21.00,4
0x000000000000000000006101,1514449850.679,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.769,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.823,0,-30,0,1,21.00,4
0x000000000000000000006101,1514449850.950,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449850.983,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449851.151,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449851.199,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449851.445,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449851.498,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449851.664,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449851.696,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449851.822,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449851.904,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449851.954,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449852.142,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449852.174,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449852.218,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449852.272,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449852.352,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449852.405,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449852.585,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449852.635,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449852.728,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449852.774,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449852.982,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449852.999,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449853.101,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449853.146,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449853.214,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449853.307,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449853.374,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449853.448,0,-30,0,2,21.00,4
0x000000000000000000006101,1514449853.507,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449853.586,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449853.642,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449853.973,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449854.018,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449854.134,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449854.310,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449854.354,0,-29,0,2,21.00,4
0x000000000000000000006101,1514449854.465,0,-31,0,2,21.00,4
0x000000000000000000006101,1514449854.544,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449854.608,0,-31,0,2,21.00,2
0x000000000000000000006101,1514449854.672,0,-31,0,3,21.00,4
0x000000000000000000006101,1514449854.687,0,-30,0,3,21.00,4
0x000000000000000000006101,1514449854.884,0,-31,0,3,21.00,4
0x000000000000000000006101,1514449855.146,0,-31,0,3,21.00,4
0x000000000000000000006101,1514449855.203,0,-31,0,3,21.00,4
0x000000000000000000006101,1514449855.425,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449855.477,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449855.648,0,-30,0,3,21.00,4
0x000000000000000000006101,1514449855.711,0,-31,0,3,21.00,4
0x000000000000000000006101,1514449855.842,0,-31,0,3,21.00,2
0x000000000000000000006101,1514449855.901,0,-31,0,3,21.00,2
0x000000000000000000006101,1514449855.944,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449855.992,0,-30,0,3,21.00,4
0x000000000000000000006101,1514449856.079,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449856.142,0,-31,0,3,21.00,4
0x000000000000000000006101,1514449856.194,0,-30,0,3,21.00,4
0x000000000000000000006101,1514449856.243,0,-30,0,3,21.00,4
0x000000000000000000006101,1514449856.414,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449856.461,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449856.617,0,-30,0,3,21.00,4
0x000000000000000000006101,1514449856.662,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449856.827,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449856.875,0,-29,0,3,21.00,4
0x000000000000000000006101,1514449856.949,0,-29,0,3,21.00,4
0x000000000000000000001116,1514449847.076,0,-29,0,1,21.00,4
0x000000000000000000001116,1514449847.123,0,-29,0,1,21.00,4
0x000000000000000000001116,1514449847.205,0,-29,0,1,21.00,4
0x000000000000000000001116,1514449847.261,0,-29,0,1,21.00,4
0x000000000000000000001116,1514449847.489,0,-33,0,1,21.00,3
0x000000000000000000001116,1514449847.553,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449847.623,0,-31,0,1,21.00,4
0x000000000000000000001116,1514449847.793,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449847.837,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449848.157,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449848.202,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449848.432,0,-31,0,1,21.00,4
0x000000000000000000001116,1514449848.611,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449848.690,0,-31,0,1,21.00,4
0x000000000000000000001116,1514449848.830,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449848.880,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449849.144,0,-29,0,1,21.00,4
0x000000000000000000001116,1514449849.189,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449849.364,0,-30,0,1,21.00,4
0x000000000000000000001116,1514449849.423,0,-29,0,1,21.00,4
0x000000000000000000001116,1514449849.606,0,-30,0,1,21.00,4
