MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:33:09 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514449975.723,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449975.756,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449975.900,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449975.947,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449976.119,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449976.218,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449976.362,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449976.398,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449976.473,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449976.561,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449976.818,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449976.997,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449977.056,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449977.190,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449977.246,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449977.306,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449977.398,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449977.471,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449977.631,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449977.678,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449977.732,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449977.813,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449977.873,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449978.053,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449978.261,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449978.381,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449978.423,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449978.502,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449978.586,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449978.627,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449978.748,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449978.797,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449978.880,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449978.989,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449979.019,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449979.212,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449979.310,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449979.352,0,-33,0,1,21.00,4
0x000000000000000000001108,1514449979.399,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449979.518,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449979.685,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449979.752,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449979.906,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449979.950,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449980.110,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449980.227,0,-33,0,2,21.00,4
0x000000000000000000001108,1514449980.302,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449980.350,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449980.485,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449980.529,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449980.592,0,-33,0,2,21.00,4
0x000000000000000000001108,1514449980.625,0,-33,0,2,21.00,4
0x000000000000000000001108,1514449980.688,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449980.717,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449980.850,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449980.907,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449981.058,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449981.109,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449981.235,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449981.278,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449981.441,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449981.476,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449981.637,0,-33,0,2,21.00,3
0x000000000000000000001108,1514449981.824,0,-33,0,2,21.00,1
