MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:38:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006101,1514450265.871,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450265.907,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450265.956,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.000,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.054,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.101,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.127,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.163,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.208,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.262,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.309,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.377,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.403,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.438,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.483,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.533,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.573,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.630,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.654,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.691,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.739,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450266.796,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450266.835,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450266.900,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.929,0,-22,0,1,21.00,2
0x000000000000000000006101,1514450266.963,0,-25,0,1,21.00,3
0x000000000000000000006101,1514450267.011,0,-24,0,1,21.00,3
0x000000000000000000006101,1514450267.064,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450267.116,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450267.182,0,-22,0,1,21.00,2
