MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:37:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006101,1514450249.714,0,-28,0,1,21.00,1
0x000000000000000000006101,1514450249.784,0,-28,0,1,21.00,1
0x000000000000000000006101,1514450249.808,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450249.876,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450249.936,0,-28,0,1,21.00,3
0x000000000000000000006101,1514450250.002,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450250.046,0,-25,0,1,21.00,4
0x000000000000000000006101,1514450250.095,0,-29,0,1,21.00,1
0x000000000000000000006101,1514450250.134,0,-29,0,1,21.00,1
0x000000000000000000006101,1514450250.178,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450250.214,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450250.351,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450250.382,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450250.437,0,-25,0,1,21.00,2
0x000000000000000000006101,1514450250.469,0,-24,0,1,21.00,2
0x000000000000000000006101,1514450250.520,0,-29,0,1,21.00,3
0x000000000000000000006101,1514450250.578,0,-29,0,1,21.00,3
0x000000000000000000006101,1514450250.611,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450250.650,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450250.801,0,-29,0,1,21.00,3
0x000000000000000000006101,1514450250.844,0,-29,0,1,21.00,3
0x000000000000000000006101,1514450250.874,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450250.916,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450251.089,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450251.129,0,-27,0,1,21.00,4
0x000000000000000000006101,1514450251.275,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450251.328,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450251.478,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450251.530,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450251.617,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450251.663,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450251.731,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450251.770,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450251.826,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450251.864,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450251.948,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450251.973,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450252.019,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.056,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.142,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450252.172,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450252.305,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.346,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.415,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450252.624,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.704,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450252.727,0,-26,0,1,21.00,2
0x000000000000000000006101,1514450252.857,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.909,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450252.992,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450253.027,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450253.112,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450253.164,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450253.282,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450253.330,0,-26,0,1,21.00,4
0x000000000000000000006101,1514450253.417,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450253.478,0,-27,0,1,21.00,2
0x000000000000000000006101,1514450253.605,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450253.649,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450253.730,0,-27,0,2,21.00,2
0x000000000000000000006101,1514450253.760,0,-27,0,2,21.00,2
0x000000000000000000006101,1514450253.799,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450253.847,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450253.916,0,-27,0,2,21.00,2
0x000000000000000000006101,1514450253.956,0,-27,0,2,21.00,2
0x000000000000000000006101,1514450253.994,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450254.021,0,-26,0,2,21.00,4
0x000000000000000000006101,1514450254.079,0,-27,0,2,21.00,2
0x000000000000000000006101,1514450254.122,0,-27,0,2,21.00,2
0x000000000000000000006101,1514450254.252,0,-26,0,2,21.00,4
