MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:23:22 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000000012,1514449388.148,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449388.183,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449388.646,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449388.693,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449389.544,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449389.588,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449389.886,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449389.930,0,-32,0,2,21.00,2
0x000000000000000000000012,1514449390.180,0,-33,0,2,21.00,2
0x000000000000000000000012,1514449390.224,0,-33,0,2,21.00,2
0x000000000000000000000012,1514449391.188,0,-33,0,2,21.00,2
0x000000000000000000000012,1514449391.214,0,-33,0,2,21.00,2
0x000000000000000000000012,1514449394.982,0,-33,0,3,21.00,2
0x000000000000000000000012,1514449395.039,0,-33,0,3,21.00,2
0x000000000000000000001108,1514449388.231,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449388.273,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449388.349,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449388.461,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449388.509,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449388.555,0,-33,0,2,21.00,4
0x000000000000000000001108,1514449388.600,0,-32,0,2,21.00,4
0x000000000000000000001108,1514449388.752,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449388.793,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449389.011,0,-33,0,2,21.00,4
0x000000000000000000001108,1514449389.101,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449389.143,0,-34,0,2,21.00,3
0x000000000000000000001108,1514449389.306,0,-32,0,2,21.00,1
0x000000000000000000001108,1514449389.354,0,-33,0,2,21.00,1
0x000000000000000000001108,1514449389.651,0,-33,0,2,21.00,4
0x000000000000000000001108,1514449389.847,0,-33,0,2,21.00,4
