MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:35:04 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514450090.407,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450090.452,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450090.552,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450090.575,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450090.749,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450090.800,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450090.856,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450090.920,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450090.997,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450091.200,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450091.387,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450091.422,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450091.488,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450091.528,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450091.684,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450091.724,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450091.792,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450091.826,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450091.908,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450091.962,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450092.016,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450092.046,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450092.119,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450092.161,0,-34,0,1,21.00,3
0x000000000000000000001108,1514450092.213,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450092.296,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450092.413,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450093.287,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450093.606,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450093.793,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450093.851,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450093.925,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450093.983,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450094.051,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450094.110,0,-32,0,1,21.00,4
0x000000000000000000001108,1514450094.186,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450094.233,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450094.312,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450094.377,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450094.618,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450094.698,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450094.772,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450094.832,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450094.969,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450095.030,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450095.085,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.126,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.182,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450095.246,0,-34,0,2,21.00,3
0x000000000000000000001108,1514450095.285,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.333,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.558,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450095.580,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450095.643,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.712,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.825,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.893,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450095.958,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450096.058,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450096.149,0,-31,0,2,21.00,4
0x000000000000000000001108,1514450096.233,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450096.408,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450096.453,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450096.523,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450096.579,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450096.687,0,-30,0,2,21.00,4
0x000000000000000000001108,1514450096.747,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450096.834,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450096.878,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450096.906,0,-30,0,2,21.00,4
0x000000000000000000001108,1514450096.938,0,-30,0,2,21.00,4
0x000000000000000000001108,1514450097.010,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450097.054,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450097.079,0,-30,0,2,21.00,4
0x000000000000000000001108,1514450097.389,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450097.507,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450097.541,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450097.577,0,-30,0,2,21.00,4
0x000000000000000000001108,1514450097.652,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450097.711,0,-31,0,2,21.00,4
0x000000000000000000001108,1514450097.796,0,-32,0,2,21.00,4
0x000000000000000000001108,1514450097.854,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450097.922,0,-33,0,2,21.00,3
0x000000000000000000001108,1514450097.949,0,-30,0,2,21.00,4
0x000000000000000000001108,1514450098.021,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450098.195,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450098.267,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450098.360,0,-31,0,3,21.00,4
0x000000000000000000001108,1514450098.558,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450098.623,0,-29,0,3,21.00,4
0x000000000000000000001108,1514450098.738,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450098.756,0,-30,0,3,21.00,4
0x000000000000000000001108,1514450098.853,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450098.923,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450098.987,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450099.068,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450099.139,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450099.370,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450099.398,0,-30,0,3,21.00,4
0x000000000000000000001108,1514450099.456,0,-30,0,3,21.00,4
0x000000000000000000001108,1514450099.545,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450099.589,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450099.619,0,-30,0,3,21.00,4
0x000000000000000000001108,1514450099.780,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450099.833,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450099.877,0,-32,0,3,21.00,4
0x000000000000000000001108,1514450099.954,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450099.986,0,-33,0,3,21.00,3
0x000000000000000000001108,1514450100.022,0,-29,0,3,21.00,4
0x000000000000000000001108,1514450100.068,0,-30,0,3,21.00,4
0x000000000000000000001104,1514450090.420,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450090.463,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450090.647,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450090.681,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450090.877,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450090.988,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450091.026,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450091.269,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450091.325,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450091.538,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450091.780,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450091.837,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.006,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.070,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.287,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.491,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.540,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.638,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.685,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450092.971,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.035,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.248,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.365,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.395,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.593,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.643,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450093.947,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450094.074,0,-34,0,1,21.00,4
0x000000000000000000001104,1514450094.416,0,-34,0,2,21.00,4
0x000000000000000000001104,1514450094.846,0,-34,0,2,21.00,4
0x000000000000000000001116,1514450090.430,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450090.638,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450090.693,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450090.868,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450090.901,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450091.007,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450091.259,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450091.315,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450091.498,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450091.765,0,-30,0,1,21.00,4
0x000000000000000000001116,1514450092.059,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450092.230,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450092.387,0,-30,0,1,21.00,4
0x000000000000000000001116,1514450092.515,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450092.601,0,-30,0,1,21.00,4
0x000000000000000000001116,1514450092.694,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.047,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.225,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.258,0,-30,0,1,21.00,4
0x000000000000000000001116,1514450093.354,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.383,0,-31,0,1,21.00,4
0x000000000000000000001116,1514450093.581,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.627,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.781,0,-32,0,1,21.00,4
0x000000000000000000001116,1514450093.860,0,-32,0,1,21.00,4
