MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:20:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006111,1515658803.301,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658803.350,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658803.410,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658803.460,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658803.519,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658803.564,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658803.621,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658803.668,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658803.724,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658803.770,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658803.826,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658803.872,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658803.921,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658803.965,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658804.013,0,-19,0,4,21.00,4
0x000000000000000000006111,1515658804.065,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658804.118,0,-24,0,4,21.00,1
0x000000000000000000006111,1515658804.166,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658804.229,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658804.274,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658804.330,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658804.377,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658804.430,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658804.479,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658804.530,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658804.581,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658804.636,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658804.681,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658804.738,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658804.775,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658804.831,0,-19,0,4,21.00,4
0x000000000000000000006111,1515658804.872,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658804.925,0,-24,0,4,21.00,1
0x000000000000000000006111,1515658804.995,0,-24,0,4,21.00,1
0x000000000000000000006111,1515658805.049,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658805.088,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658805.140,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658805.189,0,-26,0,4,21.00,3
0x000000000000000000006111,1515658805.245,0,-19,0,4,21.00,4
0x000000000000000000006111,1515658805.292,0,-20,0,4,21.00,4
0x000000000000000000006111,1515658805.339,0,-24,0,4,21.00,1
0x000000000000000000006111,1515658805.390,0,-23,0,4,21.00,1
0x000000000000000000006111,1515658805.444,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658805.500,0,-19,0,4,21.00,2
0x000000000000000000006111,1515658805.558,0,-26,0,4,21.00,3
