MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:10:21 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515658207.202,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658207.256,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658207.431,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658207.470,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658207.720,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658207.802,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.032,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.075,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.238,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.282,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.585,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.639,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.838,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658208.883,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658209.057,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658209.115,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658209.296,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658209.341,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658209.524,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658209.578,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658209.760,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658209.851,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658210.385,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658210.429,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658210.615,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658210.664,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658210.817,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658210.862,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658211.123,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658211.172,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658211.331,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658211.387,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658211.680,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658212.017,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658212.182,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658212.229,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658212.496,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658212.544,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658212.711,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658212.757,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658212.923,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658212.971,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658213.139,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658213.185,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658213.346,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658213.389,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658213.666,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658213.716,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658213.884,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658213.932,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658214.117,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658214.163,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658214.330,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658214.401,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658214.571,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658214.595,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658214.770,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658214.837,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658215.108,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658215.152,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658215.323,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658215.529,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658215.583,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658215.840,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658215.876,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658216.037,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658216.088,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658216.254,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658216.300,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658216.466,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658216.508,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658216.673,0,-28,0,2,21.00,3
0x107010349013305354381889,1515658216.723,0,-29,0,2,21.00,3
0x107010349013305354381889,1515658217.011,0,-28,0,2,21.00,3
0x107010449013305354211892,1515658207.212,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658207.261,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658207.426,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658207.474,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658207.650,0,-31,0,4,21.00,1
0x107010449013305354211892,1515658207.681,0,-31,0,4,21.00,1
0x107010449013305354211892,1515658207.724,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658207.815,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658207.984,0,-31,0,4,21.00,1
0x107010449013305354211892,1515658208.031,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658208.079,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658208.239,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658208.288,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658208.445,0,-31,0,4,21.00,1
0x107010449013305354211892,1515658208.545,0,-31,0,4,21.00,1
0x107010449013305354211892,1515658208.582,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658208.637,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658208.840,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658208.889,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658209.055,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658209.111,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658209.322,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658209.343,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658209.527,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658209.577,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658209.781,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658209.848,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658210.125,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658210.299,0,-32,0,4,21.00,1
0x107010449013305354211892,1515658210.343,0,-32,0,4,21.00,1
0x107010449013305354211892,1515658210.388,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658210.461,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658210.613,0,-30,0,4,21.00,3
0x107010449013305354211892,1515658210.863,0,-31,0,4,21.00,3
0x107010449013305354211892,1515658211.029,0,-32,0,1,21.00,1
0x107010449013305354211892,1515658211.101,0,-32,0,1,21.00,1
