MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:13:44 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x104010149108547326741498,1515658412.444,0,-33,0,4,21.00,2
0x104010149108547326741498,1515658412.488,0,-33,0,4,21.00,2
0x104010149108547326741498,1515658413.369,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658413.425,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658413.683,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658413.860,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658414.138,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658414.182,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658414.764,0,-33,0,4,21.00,2
0x104010149108547326741498,1515658414.826,0,-33,0,4,21.00,2
0x104010149108547326741498,1515658414.970,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658415.011,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658415.067,0,-33,0,4,21.00,2
0x104010149108547326741498,1515658415.121,0,-33,0,4,21.00,2
0x104010149108547326741498,1515658415.294,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658415.583,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658415.646,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658415.894,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658415.934,0,-33,0,4,21.00,4
0x104010149108547326741498,1515658416.238,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658416.301,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658416.744,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658417.026,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658417.482,0,-33,0,1,21.00,2
0x104010149108547326741498,1515658417.533,0,-33,0,1,21.00,2
0x104010149108547326741498,1515658417.791,0,-33,0,1,21.00,4
0x104010149108547326741498,1515658417.862,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658418.125,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658418.175,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658418.620,0,-33,0,1,21.00,4
0x104010149108547326741498,1515658418.979,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658419.274,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658419.981,0,-34,0,1,21.00,4
0x104010149108547326741498,1515658420.517,0,-33,0,2,21.00,4
0x104010149108547326741498,1515658420.555,0,-34,0,2,21.00,4
0x104010149108547326741498,1515658420.960,0,-33,0,2,21.00,2
0x104010149108547326741498,1515658421.362,0,-33,0,2,21.00,2
0x104010149108547326741498,1515658421.408,0,-33,0,2,21.00,2
0x104010149108547326741498,1515658421.787,0,-33,0,2,21.00,2
0x104010149108547326741498,1515658421.811,0,-33,0,2,21.00,2
0x104010149108547326741498,1515658421.963,0,-34,0,2,21.00,4
0x107010249018591604251877,1515658412.471,0,-32,0,4,21.00,2
0x107010249018591604251877,1515658414.781,0,-32,0,4,21.00,2
0x107010249018591604251877,1515658414.816,0,-32,0,4,21.00,2
0x107010249018591604251877,1515658420.947,0,-32,0,2,21.00,2
0x107010249018591604251877,1515658421.418,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658412.500,0,-31,0,4,21.00,2
0x000000000000000000006111,1515658412.571,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658412.766,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658413.279,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658413.353,0,-33,0,4,21.00,4
0x000000000000000000006111,1515658413.397,0,-33,0,4,21.00,4
0x000000000000000000006111,1515658413.479,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658413.535,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658413.622,0,-33,0,4,21.00,4
0x000000000000000000006111,1515658413.749,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658413.790,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658414.035,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658414.069,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658414.337,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658414.393,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658414.450,0,-33,0,4,21.00,4
0x000000000000000000006111,1515658414.510,0,-33,0,4,21.00,4
0x000000000000000000006111,1515658414.793,0,-31,0,4,21.00,2
0x000000000000000000006111,1515658414.892,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658414.980,0,-33,0,4,21.00,4
0x000000000000000000006111,1515658415.086,0,-31,0,4,21.00,2
0x000000000000000000006111,1515658415.111,0,-31,0,4,21.00,2
0x000000000000000000006111,1515658415.191,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658415.232,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658415.488,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658415.529,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658415.818,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658416.128,0,-32,0,4,21.00,3
0x000000000000000000006111,1515658416.251,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658416.351,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658416.383,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658416.572,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658416.624,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658416.666,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658416.734,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658416.904,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658416.946,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658417.004,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658417.207,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658417.241,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658417.491,0,-32,0,1,21.00,2
0x000000000000000000006111,1515658417.546,0,-32,0,1,21.00,2
0x000000000000000000006111,1515658417.593,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658417.749,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658417.805,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658417.852,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658418.030,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658418.075,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658418.141,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658418.333,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658418.452,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658418.528,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658418.672,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658418.859,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658419.136,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658419.222,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658419.289,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658419.412,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658419.490,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658419.670,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658419.719,0,-33,0,1,21.00,3
0x000000000000000000006111,1515658419.972,0,-33,0,1,21.00,4
0x000000000000000000006111,1515658420.025,0,-33,0,2,21.00,4
0x000000000000000000006111,1515658420.093,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658420.155,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658420.212,0,-33,0,2,21.00,4
0x000000000000000000006111,1515658420.424,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658420.529,0,-33,0,2,21.00,4
0x000000000000000000006111,1515658420.735,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658420.765,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658420.849,0,-33,0,2,21.00,4
0x000000000000000000006111,1515658420.937,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658420.980,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658421.033,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.068,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.164,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.216,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.375,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658421.428,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658421.523,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.574,0,-33,0,2,21.00,4
0x000000000000000000006111,1515658421.630,0,-33,0,2,21.00,4
0x000000000000000000006111,1515658421.770,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658421.825,0,-32,0,2,21.00,2
0x000000000000000000006111,1515658421.876,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.915,0,-33,0,2,21.00,3
0x000000000000000000006111,1515658421.950,0,-33,0,2,21.00,4
0x107010249722621700351874,1515658412.529,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658412.596,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658412.790,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658413.056,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658413.300,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658413.500,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658413.734,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658413.778,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658414.024,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658414.082,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658414.356,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658414.596,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658414.882,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658414.934,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658415.222,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658415.808,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658415.865,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658416.175,0,-33,0,4,21.00,3
0x107010249722621700351874,1515658416.393,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658416.585,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658416.604,0,-31,0,1,21.00,3
0x107010249722621700351874,1515658416.887,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658416.921,0,-30,0,1,21.00,3
0x107010249722621700351874,1515658417.197,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658417.226,0,-30,0,1,21.00,3
0x107010249722621700351874,1515658417.571,0,-31,0,1,21.00,3
0x107010249722621700351874,1515658417.626,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658418.012,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658418.063,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658418.316,0,-30,0,1,21.00,3
0x107010249722621700351874,1515658418.369,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658418.551,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658418.814,0,-30,0,1,21.00,3
0x107010249722621700351874,1515658418.840,0,-31,0,1,21.00,3
0x107010249722621700351874,1515658419.112,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658419.165,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658419.336,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658419.390,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658419.661,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658419.694,0,-31,0,1,21.00,3
0x107010249722621700351874,1515658419.891,0,-32,0,1,21.00,3
0x107010249722621700351874,1515658419.911,0,-30,0,1,21.00,3
0x107010249722621700351874,1515658420.107,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658420.143,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658420.407,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658420.445,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658420.722,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658420.788,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658421.079,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658421.154,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658421.199,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658421.476,0,-32,0,2,21.00,3
0x107010249722621700351874,1515658421.511,0,-32,0,2,21.00,3
0x107010449013305354211892,1515658412.541,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658412.584,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658412.746,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658412.817,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658413.086,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658413.270,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658413.326,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658413.548,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658413.799,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658414.626,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658415.180,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658415.245,0,-34,0,4,21.00,3
0x107010449013305354211892,1515658415.542,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658412.550,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658412.756,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658413.096,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658414.346,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658414.379,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658414.584,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658415.554,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658415.838,0,-34,0,4,21.00,3
0x107010449013305354211893,1515658416.100,0,-34,0,4,21.00,3
0x107010349013305354381889,1515658412.558,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658412.736,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658412.771,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658412.845,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658412.893,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658413.023,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658413.073,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658413.156,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658413.239,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658413.288,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658413.457,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658413.508,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658413.720,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658413.766,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658414.006,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658414.050,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658414.315,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658414.361,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658414.553,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658414.603,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658414.855,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658414.901,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658415.160,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658415.205,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658415.475,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658415.512,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658415.773,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658415.827,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658416.088,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658416.165,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658416.201,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658416.286,0,-33,0,1,21.00,4
0x107010349013305354381889,1515658416.333,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658416.372,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658416.555,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658416.600,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658416.686,0,-33,0,1,21.00,4
