MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:14:18 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515658445.363,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658445.405,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658445.471,0,-33,0,4,21.00,4
0x107010349013305354381889,1515658445.691,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658445.859,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658446.307,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658446.529,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658446.576,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658446.748,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658446.801,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658447.089,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658447.135,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658447.306,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658447.349,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658447.600,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658447.643,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658447.825,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658447.866,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658448.067,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658448.084,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658448.248,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658448.288,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658448.645,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658448.691,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658448.781,0,-34,0,4,21.00,4
0x107010349013305354381889,1515658448.930,0,-29,0,4,21.00,3
0x107010349013305354381889,1515658448.974,0,-28,0,4,21.00,3
0x107010349013305354381889,1515658449.257,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658449.304,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658449.588,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658449.643,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658449.725,0,-33,0,1,21.00,4
0x107010349013305354381889,1515658449.824,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658449.863,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658449.951,0,-33,0,1,21.00,4
0x107010349013305354381889,1515658450.113,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.145,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.418,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658450.437,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.691,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.741,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.906,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.933,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658450.998,0,-29,0,1,21.00,3
0x107010349013305354381889,1515658451.044,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.303,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.341,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.510,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.547,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.625,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.662,0,-28,0,1,21.00,3
0x107010349013305354381889,1515658451.731,0,-33,0,1,21.00,4
0x107010349013305354381889,1515658451.783,0,-33,0,1,21.00,4
