MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:03:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515657825.813,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657825.843,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.092,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.135,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.308,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.355,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.728,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657826.769,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.847,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657826.882,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657827.052,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657827.100,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657827.278,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657827.318,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657827.524,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657827.563,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657827.840,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657827.887,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657828.077,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657828.124,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657828.211,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657828.252,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657828.431,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657828.475,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657828.556,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657828.598,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657828.789,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657828.813,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657829.014,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657829.205,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657829.243,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657829.425,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657829.473,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657829.665,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657829.708,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657829.979,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657830.036,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657830.250,0,-29,0,3,21.00,3
0x107010349013305354381889,1515657830.420,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657830.466,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657830.640,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657830.683,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657830.857,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657830.898,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657831.069,0,-28,0,3,21.00,3
0x107010349013305354381889,1515657831.112,0,-28,0,3,21.00,3
