MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:04:41 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515657868.929,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657868.967,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657869.223,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657869.275,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657869.353,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657869.394,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657869.603,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657869.870,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657869.904,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657870.148,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657870.195,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657870.366,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657870.411,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657870.669,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657870.710,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657870.884,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657870.925,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657871.092,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657871.139,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657871.401,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657871.443,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657871.708,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657871.746,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657871.817,0,-34,0,2,21.00,4
0x107010349013305354381889,1515657871.860,0,-34,0,2,21.00,4
0x107010349013305354381889,1515657872.034,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657872.062,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657872.137,0,-28,0,2,21.00,3
0x107010349013305354381889,1515657872.198,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657872.371,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657872.399,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657872.575,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657872.609,0,-29,0,2,21.00,3
0x107010349013305354381889,1515657872.829,0,-29,0,3,21.00,3
