MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:05:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515657887.658,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657887.708,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.032,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.084,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.340,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.388,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.657,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.727,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.894,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657888.935,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657889.188,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657889.262,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657889.493,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657889.766,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657889.952,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657890.001,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657890.288,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657890.588,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657891.203,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657891.249,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657891.524,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657891.562,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657891.815,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657891.880,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657892.125,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657892.188,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657892.492,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657892.534,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657892.718,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657892.749,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657893.130,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657893.179,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657893.444,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657893.500,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657893.757,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657893.810,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657894.089,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657894.120,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657894.292,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657894.351,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657894.607,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657894.671,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657895.132,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657895.196,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657895.509,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657895.555,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657895.863,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657896.294,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657896.586,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657896.614,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657897.339,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657897.394,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657897.629,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657897.689,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657897.876,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657897.921,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657887.670,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657887.720,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657887.833,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657887.885,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657888.044,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657888.099,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657888.152,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657888.212,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657888.370,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657888.470,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657888.504,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657888.667,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657888.717,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657888.787,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657888.946,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657889.010,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657889.234,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657889.433,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657889.476,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657889.529,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657889.598,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657889.775,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657889.850,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657889.943,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657890.014,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657890.068,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657890.117,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657890.273,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657890.311,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657890.564,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657890.608,0,-33,0,2,21.00,1
0x107010449013305354211892,1515657890.694,0,-33,0,2,21.00,3
0x107010449013305354211892,1515657891.103,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657891.260,0,-32,0,2,21.00,1
0x107010449013305354211892,1515657891.324,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657891.367,0,-32,0,2,21.00,3
0x107010449013305354211892,1515657891.514,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657891.549,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657891.622,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657891.668,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657891.832,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657891.870,0,-33,0,3,21.00,1
0x107010449013305354211892,1515657892.135,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657892.175,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657892.594,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657892.642,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657892.728,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657892.829,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657892.871,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657893.150,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657893.453,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657893.486,0,-33,0,3,21.00,1
0x107010449013305354211892,1515657893.770,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.074,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.137,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.302,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.338,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.435,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657894.619,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.654,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657894.735,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657894.775,0,-32,0,3,21.00,3
0x107010449013305354211892,1515657894.940,0,-33,0,3,21.00,3
0x107010449013305354211892,1515657894.996,0,-33,0,3,21.00,3
0x107010449013305354211892,1515657895.158,0,-32,0,3,21.00,1
0x107010449013305354211892,1515657895.267,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657895.338,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657895.472,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657895.582,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657895.665,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657895.848,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657895.899,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657896.090,0,-32,0,4,21.00,3
0x107010449013305354211892,1515657896.279,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657896.331,0,-31,0,4,21.00,1
0x107010449013305354211892,1515657896.398,0,-31,0,4,21.00,3
0x107010449013305354211892,1515657896.596,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657896.705,0,-31,0,4,21.00,3
0x107010449013305354211892,1515657896.906,0,-31,0,4,21.00,3
0x107010449013305354211892,1515657896.967,0,-31,0,4,21.00,3
0x107010449013305354211892,1515657897.159,0,-31,0,4,21.00,3
0x107010449013305354211892,1515657897.349,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657897.384,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657897.654,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657897.702,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657897.751,0,-30,0,4,21.00,3
0x107010449013305354211892,1515657897.797,0,-30,0,4,21.00,3
0x107010449013305354211892,1515657897.863,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657897.904,0,-32,0,4,21.00,1
0x107010449013305354211892,1515657897.968,0,-31,0,4,21.00,3
0x107010449013305354211892,1515657898.041,0,-31,0,4,21.00,3
0x107010549013305354071900,1515657887.683,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657887.954,0,-34,0,2,21.00,4
0x107010549013305354071900,1515657888.057,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657888.349,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657888.399,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657888.689,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657888.884,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657888.958,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657889.050,0,-34,0,2,21.00,3
0x107010549013305354071900,1515657889.203,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657889.249,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657889.443,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657889.466,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657889.737,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657889.787,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657889.887,0,-34,0,2,21.00,3
0x107010549013305354071900,1515657889.976,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657890.261,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657890.324,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657890.577,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657890.623,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657891.220,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657891.272,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657891.574,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657891.684,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657891.889,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657891.987,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657892.150,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657892.513,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657892.707,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657892.759,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657892.957,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657893.140,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657893.168,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657893.249,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657893.299,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657893.465,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657893.747,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657893.793,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657893.864,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657893.899,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657894.101,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657894.208,0,-34,0,3,21.00,3
0x107010549013305354071900,1515657894.318,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657894.632,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657895.146,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657895.185,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657895.526,0,-32,0,4,21.00,1
0x107010549013305354071900,1515657895.689,0,-34,0,4,21.00,3
0x107010549013305354071900,1515657895.886,0,-32,0,4,21.00,1
0x107010549013305354071900,1515657895.943,0,-34,0,4,21.00,3
0x107010549013305354071900,1515657895.982,0,-34,0,4,21.00,3
0x107010549013305354071900,1515657896.266,0,-32,0,4,21.00,1
0x107010549013305354071900,1515657896.321,0,-32,0,4,21.00,1
0x107010549013305354071900,1515657896.559,0,-32,0,4,21.00,1
0x107010549013305354071900,1515657896.629,0,-32,0,4,21.00,1
0x107010549013305354071900,1515657896.804,0,-34,0,4,21.00,4
0x107010549013305354071900,1515657897.018,0,-34,0,4,21.00,4
0x107010549013305354071900,1515657897.225,0,-34,0,4,21.00,4
0x107010549013305354071900,1515657897.268,0,-34,0,4,21.00,4
0x107010549013305354071900,1515657897.359,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657897.541,0,-34,0,4,21.00,4
0x107010549013305354071900,1515657897.577,0,-34,0,4,21.00,4
0x107010549013305354071900,1515657897.664,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657897.886,0,-33,0,4,21.00,1
0x107010449013305354211893,1515657887.843,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657887.875,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657888.994,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657889.384,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657889.585,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657889.826,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657889.907,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657890.126,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657890.371,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657890.413,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657890.671,0,-35,0,2,21.00,3
0x107010449013305354211893,1515657890.736,0,-35,0,2,21.00,3
0x107010449013305354211893,1515657890.923,0,-35,0,2,21.00,3
0x107010449013305354211893,1515657891.094,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657891.133,0,-34,0,2,21.00,3
0x107010449013305354211893,1515657891.944,0,-33,0,3,21.00,3
0x107010449013305354211893,1515657891.972,0,-33,0,3,21.00,3
0x107010449013305354211893,1515657892.606,0,-34,0,3,21.00,3
0x107010449013305354211893,1515657892.659,0,-34,0,3,21.00,3
0x107010449013305354211893,1515657892.947,0,-34,0,3,21.00,3
0x107010449013305354211893,1515657892.998,0,-34,0,3,21.00,3
0x107010449013305354211893,1515657893.283,0,-34,0,3,21.00,3
0x107010449013305354211893,1515657893.548,0,-34,0,3,21.00,3
