MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:39:34 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515667160.614,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667160.669,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667162.233,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667162.281,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667162.934,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667162.973,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667163.441,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667163.475,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667163.726,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667163.767,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667164.097,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667164.141,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515667164.653,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667164.697,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667164.964,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667164.998,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667165.891,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667165.932,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667166.184,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667166.247,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667166.495,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667166.554,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667166.806,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667166.839,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667167.763,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667167.814,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667168.068,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667168.121,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515667168.412,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667168.473,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667169.120,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667169.152,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667169.443,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667169.490,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667169.755,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515667169.788,0,-30,0,1,21.00,1
0x107010549013305354071900,1515667160.627,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667160.686,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667161.714,0,-33,0,3,21.00,4
0x107010549013305354071900,1515667161.757,0,-33,0,3,21.00,4
0x107010549013305354071900,1515667162.243,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667162.294,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667162.944,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667163.430,0,-33,0,3,21.00,1
0x107010549013305354071900,1515667163.484,0,-33,0,3,21.00,1
