MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:24:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515666246.276,0,-34,0,1,21.00,1
0x107010549013305354071900,1515666246.325,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666246.655,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666246.710,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666247.062,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666247.095,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666247.442,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666247.487,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666247.855,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666247.901,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666248.169,0,-34,0,1,21.00,4
0x107010549013305354071900,1515666248.207,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666248.550,0,-34,0,1,21.00,4
0x107010549013305354071900,1515666248.639,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666248.670,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666249.060,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666249.094,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666249.342,0,-34,0,1,21.00,4
0x107010549013305354071900,1515666249.431,0,-34,0,1,21.00,4
0x107010549013305354071900,1515666249.528,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666249.776,0,-34,0,1,21.00,4
0x107010549013305354071900,1515666249.813,0,-34,0,1,21.00,4
0x107010549013305354071900,1515666249.877,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666249.932,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666250.294,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666250.326,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666250.615,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666250.687,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666250.741,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666250.996,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666251.056,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666251.126,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666251.301,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666251.345,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666251.404,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666251.464,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666251.788,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666251.883,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666252.142,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666252.200,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666252.495,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666252.567,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666252.592,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666252.866,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666252.946,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666252.992,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666253.389,0,-34,0,2,21.00,1
0x107010549013305354071900,1515666253.698,0,-34,0,2,21.00,4
0x107010549013305354071900,1515666253.798,0,-33,0,2,21.00,1
0x107010549013305354071900,1515666253.990,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666254.061,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666254.134,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666254.434,0,-34,0,3,21.00,1
0x107010549013305354071900,1515666254.478,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666254.748,0,-34,0,3,21.00,4
0x107010549013305354071900,1515666254.852,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666255.244,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666255.290,0,-34,0,3,21.00,1
0x107010549013305354071900,1515666255.635,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666255.692,0,-33,0,3,21.00,1
0x107010549013305354071900,1515666256.076,0,-34,0,3,21.00,1
0x000000000000000000006121,1515666246.289,0,-28,0,1,21.00,1
0x000000000000000000006121,1515666246.417,0,-26,0,1,21.00,2
0x000000000000000000006121,1515666246.470,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666246.587,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666246.671,0,-28,0,1,21.00,1
0x000000000000000000006121,1515666246.810,0,-26,0,1,21.00,2
0x000000000000000000006121,1515666246.854,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666246.884,0,-27,0,1,21.00,3
0x000000000000000000006121,1515666246.938,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666246.979,0,-23,0,1,21.00,4
0x000000000000000000006121,1515666247.136,0,-25,0,1,21.00,2
0x000000000000000000006121,1515666247.331,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666247.371,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666247.458,0,-28,0,1,21.00,1
0x000000000000000000006121,1515666247.504,0,-28,0,1,21.00,1
0x000000000000000000006121,1515666247.568,0,-26,0,1,21.00,2
0x000000000000000000006121,1515666247.629,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666247.676,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666247.730,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666247.775,0,-22,0,1,21.00,4
0x000000000000000000006121,1515666247.931,0,-25,0,1,21.00,2
0x000000000000000000006121,1515666247.981,0,-24,0,1,21.00,2
0x000000000000000000006121,1515666248.044,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666248.086,0,-27,0,1,21.00,3
0x000000000000000000006121,1515666248.141,0,-23,0,1,21.00,4
0x000000000000000000006121,1515666248.183,0,-23,0,1,21.00,4
0x000000000000000000006121,1515666248.257,0,-28,0,1,21.00,1
0x000000000000000000006121,1515666248.313,0,-28,0,1,21.00,1
0x000000000000000000006121,1515666248.348,0,-26,0,1,21.00,2
0x000000000000000000006121,1515666248.504,0,-28,0,1,21.00,3
0x000000000000000000006121,1515666248.555,0,-23,0,1,21.00,4
0x000000000000000000006121,1515666248.625,0,-28,0,1,21.00,1
