MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:24:59 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514363081.681,0,-25,0,4,21.00,1
0x000000000000000000001278,1514363081.733,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363081.776,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363081.833,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363081.877,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363081.938,0,-25,0,4,21.00,1
0x000000000000000000001278,1514363081.965,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363082.144,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363082.185,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363082.249,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363082.306,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363082.365,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363082.416,0,-27,0,4,21.00,1
0x000000000000000000001278,1514363082.469,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363082.526,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363082.581,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363082.626,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363082.675,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363082.721,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363082.810,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363082.854,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363082.908,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363082.969,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363083.025,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363083.067,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363083.240,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363083.287,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363083.343,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363083.385,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363083.436,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363083.487,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363083.552,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363083.587,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363083.644,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363083.692,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363083.745,0,-25,0,4,21.00,1
0x000000000000000000001278,1514363083.793,0,-25,0,4,21.00,1
0x000000000000000000001278,1514363083.861,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363083.913,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363083.967,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363084.008,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363084.069,0,-25,0,4,21.00,1
0x000000000000000000001278,1514363084.122,0,-26,0,4,21.00,1
0x000000000000000000001278,1514363084.178,0,-21,0,4,21.00,3
0x000000000000000000001278,1514363084.214,0,-21,0,4,21.00,3
