MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:24:31 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514363035.020,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363035.065,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363035.113,0,-22,0,4,21.00,2
0x000000000000000000001278,1514363035.165,0,-23,0,4,21.00,2
0x000000000000000000001278,1514363035.225,0,-26,0,4,21.00,3
0x000000000000000000001278,1514363035.281,0,-27,0,4,21.00,3
0x000000000000000000001278,1514363035.339,0,-29,0,4,21.00,4
0x000000000000000000001278,1514363035.396,0,-29,0,4,21.00,4
0x000000000000000000001278,1514363035.456,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363035.497,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363035.549,0,-23,0,4,21.00,2
0x000000000000000000001278,1514363035.597,0,-22,0,4,21.00,2
0x000000000000000000001278,1514363035.652,0,-27,0,4,21.00,3
0x000000000000000000001278,1514363035.698,0,-27,0,4,21.00,3
0x000000000000000000001278,1514363035.751,0,-28,0,4,21.00,4
0x000000000000000000001278,1514363035.808,0,-29,0,4,21.00,4
0x000000000000000000001278,1514363035.863,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363035.918,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363035.974,0,-22,0,4,21.00,2
0x000000000000000000001278,1514363036.031,0,-22,0,4,21.00,2
0x000000000000000000001278,1514363036.079,0,-26,0,4,21.00,3
0x000000000000000000001278,1514363036.124,0,-27,0,4,21.00,3
0x000000000000000000001278,1514363036.173,0,-29,0,4,21.00,4
0x000000000000000000001278,1514363036.230,0,-30,0,4,21.00,4
0x000000000000000000001278,1514363036.286,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363036.324,0,-23,0,4,21.00,1
0x000000000000000000001278,1514363036.382,0,-22,0,4,21.00,2
0x000000000000000000001278,1514363036.429,0,-23,0,4,21.00,2
0x000000000000000000001278,1514363036.492,0,-27,0,4,21.00,3
0x000000000000000000001278,1514363036.535,0,-27,0,4,21.00,3
