MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:33:38 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514363532.434,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363532.486,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363532.591,0,-22,0,3,21.00,2
0x000000000000000000001278,1514363532.634,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363532.682,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363532.832,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363532.884,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363532.982,0,-24,0,3,21.00,2
0x000000000000000000001278,1514363533.046,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363533.088,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363533.242,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363533.287,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363533.345,0,-23,0,3,21.00,2
0x000000000000000000001278,1514363533.382,0,-23,0,3,21.00,2
0x000000000000000000001278,1514363533.436,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363533.476,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363533.538,0,-27,0,3,21.00,4
0x000000000000000000001278,1514363533.583,0,-27,0,3,21.00,4
0x000000000000000000001278,1514363533.639,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363533.686,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363533.738,0,-23,0,3,21.00,2
0x000000000000000000001278,1514363533.776,0,-22,0,3,21.00,2
0x000000000000000000001278,1514363533.825,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363533.867,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363533.926,0,-27,0,3,21.00,4
0x000000000000000000001278,1514363533.964,0,-27,0,3,21.00,4
0x000000000000000000001278,1514363534.016,0,-24,0,3,21.00,1
0x000000000000000000001278,1514363534.057,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363534.113,0,-23,0,3,21.00,2
0x000000000000000000001278,1514363534.226,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363534.271,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363534.418,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363534.468,0,-23,0,3,21.00,1
0x000000000000000000001278,1514363534.526,0,-22,0,3,21.00,2
0x000000000000000000001278,1514363534.579,0,-24,0,3,21.00,2
0x000000000000000000001278,1514363534.624,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363534.673,0,-23,0,3,21.00,3
0x000000000000000000001278,1514363534.823,0,-24,0,3,21.00,1
0x000000000000000000001278,1514363534.874,0,-23,0,3,21.00,1
