MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:16:53 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514362588.085,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362588.133,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362588.541,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362588.615,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362588.902,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362588.946,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362589.308,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362589.579,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362589.624,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362590.198,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362590.240,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362590.757,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362590.800,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362591.060,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362591.092,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362591.364,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362591.399,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362592.236,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362592.349,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362592.766,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362592.791,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362593.020,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362593.124,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362593.140,0,-26,0,1,21.00,2
0x000000000000000000001278,1514362593.428,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362593.512,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362593.595,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362593.757,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362593.807,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362593.886,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362593.954,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362594.129,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362594.201,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362594.341,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362594.783,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362594.928,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362595.091,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362595.153,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362595.245,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362595.348,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362595.420,0,-31,0,1,21.00,4
0x000000000000000000001278,1514362595.576,0,-27,0,1,21.00,2
0x000000000000000000001278,1514362595.731,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362595.992,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362596.513,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362596.770,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362596.808,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362597.211,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362597.259,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362597.594,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362597.686,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362598.093,0,-27,0,2,21.00,2
0x000000000000000000001278,1514362598.177,0,-27,0,2,21.00,2
0x000000000000000000004001,1514362588.095,0,-32,0,4,21.00,2
0x000000000000000000004001,1514362588.150,0,-32,0,4,21.00,2
0x000000000000000000004001,1514362588.187,0,-31,0,4,21.00,3
