MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:45:25 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514364305.908,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364305.945,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364305.980,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364306.030,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364306.068,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364306.117,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364306.167,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364306.219,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364306.260,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364306.293,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364306.335,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364306.395,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364306.437,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364306.489,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364306.539,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364306.603,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364306.630,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364306.666,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364306.704,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364306.750,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364306.814,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364306.865,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364306.913,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364306.972,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364307.001,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364307.038,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364307.084,0,-23,0,3,21.00,2
0x000000000000000000001278,1514364307.135,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364307.185,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364307.251,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364307.312,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364307.375,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364307.403,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364307.439,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364307.477,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364307.526,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364307.590,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364307.663,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364307.704,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364307.757,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364307.788,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364307.875,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364307.923,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364307.968,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364308.027,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364308.067,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364308.119,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364308.148,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364308.185,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364308.232,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364308.295,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364308.343,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364308.396,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364308.434,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364308.491,0,-21,0,3,21.00,1
0x000000000000000000001278,1514364308.514,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364308.553,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364308.604,0,-23,0,3,21.00,2
0x000000000000000000001278,1514364308.664,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364308.718,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364308.773,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364308.821,0,-23,0,3,21.00,4
0x000000000000000000001278,1514364308.879,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364308.904,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364308.943,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364308.987,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364309.044,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364309.098,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364309.157,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364309.195,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364309.246,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364309.276,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364309.312,0,-22,0,3,21.00,2
0x000000000000000000001278,1514364309.355,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364309.414,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364309.465,0,-19,0,3,21.00,3
0x000000000000000000001278,1514364309.527,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364309.573,0,-22,0,3,21.00,4
0x000000000000000000001278,1514364309.616,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364309.642,0,-20,0,3,21.00,1
0x000000000000000000001278,1514364309.689,0,-22,0,4,21.00,2
0x000000000000000000001278,1514364309.743,0,-22,0,4,21.00,2
