MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:47:16 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514364419.961,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364419.990,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364420.022,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364420.061,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364420.095,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364420.142,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364420.198,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364420.244,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364420.293,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364420.323,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364420.357,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364420.401,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364420.460,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364420.509,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364420.564,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364420.618,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364420.673,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364420.699,0,-25,0,3,21.00,1
0x000000000000000000001278,1514364420.735,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364420.771,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364420.825,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364420.875,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364420.929,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364420.975,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.035,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.060,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.095,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364421.123,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364421.158,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364421.200,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364421.254,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.292,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.350,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.375,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.411,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364421.451,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364421.503,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.556,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.603,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.627,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.665,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364421.712,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364421.764,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364421.808,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364421.867,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.902,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364421.961,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364421.989,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364422.021,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364422.060,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364422.126,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364422.177,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364422.234,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364422.280,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364422.333,0,-25,0,3,21.00,1
0x000000000000000000001278,1514364422.358,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364422.397,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364422.432,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364422.477,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364422.524,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364422.581,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364422.629,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364422.682,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364422.720,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364422.767,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364422.813,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364422.891,0,-29,0,3,21.00,3
0x000000000000000000001278,1514364422.910,0,-27,0,3,21.00,3
0x000000000000000000001278,1514364422.983,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364423.019,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364423.091,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364423.130,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364423.173,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364423.219,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364423.309,0,-29,0,3,21.00,3
0x000000000000000000001278,1514364423.366,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364423.419,0,-21,0,3,21.00,4
0x000000000000000000001278,1514364423.466,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364423.503,0,-24,0,3,21.00,1
0x000000000000000000001278,1514364423.549,0,-21,0,3,21.00,2
0x000000000000000000001278,1514364423.597,0,-20,0,3,21.00,2
0x000000000000000000001278,1514364423.653,0,-29,0,3,21.00,3
0x000000000000000000001278,1514364423.695,0,-28,0,3,21.00,3
0x000000000000000000001278,1514364423.771,0,-21,0,4,21.00,4
0x000000000000000000001278,1514364423.814,0,-21,0,4,21.00,4
0x000000000000000000001278,1514364423.873,0,-24,0,4,21.00,1
0x000000000000000000001278,1514364423.913,0,-24,0,4,21.00,1
0x000000000000000000001278,1514364423.957,0,-21,0,4,21.00,2
0x000000000000000000001278,1514364423.996,0,-20,0,4,21.00,2
0x000000000000000000001278,1514364424.047,0,-29,0,4,21.00,3
0x000000000000000000001278,1514364424.097,0,-29,0,4,21.00,3
0x000000000000000000001278,1514364424.146,0,-21,0,4,21.00,4
0x000000000000000000001278,1514364424.188,0,-21,0,4,21.00,4
0x000000000000000000001278,1514364424.239,0,-24,0,4,21.00,1
0x000000000000000000001278,1514364424.276,0,-24,0,4,21.00,1
0x000000000000000000001278,1514364424.327,0,-20,0,4,21.00,2
0x000000000000000000001278,1514364424.361,0,-21,0,4,21.00,2
0x000000000000000000001278,1514364424.410,0,-28,0,4,21.00,3
0x000000000000000000001278,1514364424.464,0,-28,0,4,21.00,3
0x000000000000000000001278,1514364424.515,0,-21,0,4,21.00,4
0x000000000000000000001278,1514364424.564,0,-21,0,4,21.00,4
0x000000000000000000001278,1514364424.629,0,-24,0,4,21.00,1
