MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:07:37 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211892,1515668843.354,0,-32,0,3,21.00,2
0x107010449013305354211892,1515668843.424,0,-32,0,3,21.00,2
0x107010449013305354211892,1515668843.983,0,-32,0,3,21.00,2
0x107010449013305354211892,1515668845.878,0,-32,0,3,21.00,2
0x107010449013305354211892,1515668846.480,0,-33,0,3,21.00,2
0x107010449013305354211892,1515668846.545,0,-33,0,3,21.00,2
0x107010449013305354211892,1515668846.808,0,-33,0,3,21.00,2
0x107010449013305354211892,1515668846.841,0,-33,0,3,21.00,2
0x107010449013305354211892,1515668847.752,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668847.812,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668848.077,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668848.571,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668848.623,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668848.859,0,-33,0,4,21.00,3
0x107010449013305354211892,1515668848.916,0,-34,0,4,21.00,3
0x107010449013305354211892,1515668849.368,0,-32,0,4,21.00,2
0x107010449013305354211892,1515668849.428,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668849.794,0,-33,0,4,21.00,2
0x107010449013305354211892,1515668849.897,0,-34,0,4,21.00,3
0x107010449013305354211892,1515668850.092,0,-32,0,4,21.00,2
0x107010449013305354211892,1515668850.119,0,-32,0,4,21.00,2
0x107010449013305354211892,1515668850.404,0,-34,0,4,21.00,3
0x107010449013305354211892,1515668850.659,0,-34,0,4,21.00,3
0x107010449013305354211892,1515668851.609,0,-33,0,1,21.00,2
0x107010449013305354211892,1515668851.926,0,-33,0,1,21.00,2
0x107010449013305354211892,1515668852.412,0,-33,0,1,21.00,2
0x107010449013305354211892,1515668852.705,0,-33,0,1,21.00,2
0x107010449013305354211892,1515668852.738,0,-33,0,1,21.00,2
0x000000000000000000006141,1515668843.367,0,-29,0,3,21.00,2
0x000000000000000000006141,1515668843.414,0,-29,0,3,21.00,2
0x000000000000000000006141,1515668843.790,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668843.869,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668843.917,0,-31,0,3,21.00,1
0x000000000000000000006141,1515668843.956,0,-29,0,3,21.00,2
0x000000000000000000006141,1515668844.023,0,-29,0,3,21.00,2
0x000000000000000000006141,1515668844.628,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668844.674,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668844.846,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668844.889,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668845.066,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668845.183,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668845.373,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668845.750,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668845.807,0,-31,0,3,21.00,4
0x000000000000000000006141,1515668845.857,0,-29,0,3,21.00,2
0x000000000000000000006141,1515668845.915,0,-29,0,3,21.00,2
0x000000000000000000006141,1515668846.158,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668846.220,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668846.375,0,-32,0,3,21.00,4
0x000000000000000000006141,1515668846.434,0,-32,0,3,21.00,4
0x000000000000000000006141,1515668846.508,0,-28,0,3,21.00,2
0x000000000000000000006141,1515668846.795,0,-28,0,3,21.00,2
0x000000000000000000006141,1515668846.858,0,-28,0,3,21.00,2
0x000000000000000000006141,1515668847.063,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668847.090,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668847.405,0,-31,0,4,21.00,1
0x000000000000000000006141,1515668847.436,0,-31,0,4,21.00,1
0x000000000000000000006141,1515668847.773,0,-29,0,4,21.00,2
0x000000000000000000006141,1515668848.062,0,-29,0,4,21.00,2
0x000000000000000000006141,1515668848.097,0,-29,0,4,21.00,2
0x000000000000000000006141,1515668848.561,0,-29,0,4,21.00,2
0x000000000000000000006141,1515668848.606,0,-29,0,4,21.00,2
0x000000000000000000006141,1515668848.956,0,-32,0,4,21.00,4
0x000000000000000000006141,1515668849.007,0,-32,0,4,21.00,4
0x000000000000000000006141,1515668849.069,0,-31,0,4,21.00,1
