MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:08:39 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006141,1515668905.673,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668905.707,0,-25,0,2,21.00,2
0x000000000000000000006141,1515668905.876,0,-28,0,2,21.00,4
0x000000000000000000006141,1515668905.945,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668906.027,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668906.121,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668906.169,0,-25,0,2,21.00,2
0x000000000000000000006141,1515668906.341,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668906.389,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668906.428,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668906.474,0,-25,0,2,21.00,2
0x000000000000000000006141,1515668906.647,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668906.676,0,-28,0,2,21.00,4
0x000000000000000000006141,1515668906.764,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668906.823,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668906.872,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668907.123,0,-25,0,2,21.00,2
0x000000000000000000006141,1515668907.176,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668907.368,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668907.525,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668907.565,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668907.717,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668907.798,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668907.850,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668907.895,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668907.948,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668907.989,0,-25,0,2,21.00,2
0x000000000000000000006141,1515668908.291,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668908.340,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668908.359,0,-25,0,2,21.00,2
0x000000000000000000006141,1515668908.396,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668908.555,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668908.617,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668908.667,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668908.712,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668908.925,0,-29,0,2,21.00,4
0x000000000000000000006141,1515668908.974,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668909.044,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668909.086,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668909.138,0,-24,0,2,21.00,2
0x000000000000000000006141,1515668909.419,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668909.448,0,-31,0,2,21.00,1
0x000000000000000000006141,1515668909.504,0,-24,0,3,21.00,2
0x000000000000000000006141,1515668909.541,0,-24,0,3,21.00,2
0x000000000000000000006141,1515668909.719,0,-29,0,3,21.00,4
0x000000000000000000006141,1515668909.779,0,-29,0,3,21.00,4
0x000000000000000000006141,1515668909.826,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668909.883,0,-32,0,3,21.00,1
0x000000000000000000006141,1515668909.902,0,-24,0,3,21.00,2
0x000000000000000000006141,1515668909.952,0,-24,0,3,21.00,2
