MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:05:27 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006141,1515668713.161,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668713.200,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668713.249,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668713.294,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668713.349,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668713.393,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668713.452,0,-13,0,3,21.00,4
0x000000000000000000006141,1515668713.493,0,-14,0,3,21.00,4
0x000000000000000000006141,1515668713.544,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668713.581,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668713.628,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668713.674,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668713.725,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668713.780,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668713.832,0,-13,0,3,21.00,4
0x000000000000000000006141,1515668713.871,0,-13,0,3,21.00,4
0x000000000000000000006141,1515668713.927,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668713.968,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668714.012,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668714.056,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668714.114,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668714.166,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668714.221,0,-13,0,3,21.00,4
0x000000000000000000006141,1515668714.265,0,-13,0,3,21.00,4
0x000000000000000000006141,1515668714.323,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668714.363,0,-19,0,3,21.00,1
0x000000000000000000006141,1515668714.410,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668714.456,0,-14,0,3,21.00,2
0x000000000000000000006141,1515668714.512,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668714.562,0,-21,0,3,21.00,3
0x000000000000000000006141,1515668714.617,0,-13,0,3,21.00,4
0x000000000000000000006141,1515668714.669,0,-13,0,3,21.00,4
