MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:23:05 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006141,1515669770.682,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669770.727,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669770.777,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669770.829,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669770.887,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669770.928,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669770.984,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669771.024,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669771.078,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669771.116,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669771.171,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669771.221,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669771.277,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669771.323,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669771.380,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669771.420,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669771.476,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669771.520,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669771.577,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669771.626,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669771.684,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669771.737,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669771.791,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669771.826,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669771.890,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669771.933,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669771.990,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669772.035,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669772.093,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669772.135,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669772.188,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669772.225,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669772.287,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669772.380,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669772.455,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669772.498,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669772.559,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669772.601,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669772.643,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669772.690,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669772.753,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669772.796,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669772.854,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669772.901,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669772.953,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669772.998,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669773.044,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669773.089,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669773.148,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669773.190,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669773.245,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669773.292,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669773.351,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669773.400,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669773.460,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669773.504,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669773.562,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669773.608,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669773.661,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669773.707,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669773.764,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669773.809,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669773.864,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669773.908,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669773.967,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669774.015,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669774.070,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669774.122,0,-22,0,2,21.00,2
0x000000000000000000006141,1515669774.178,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669774.220,0,-26,0,2,21.00,3
0x000000000000000000006141,1515669774.274,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669774.317,0,-22,0,2,21.00,4
0x000000000000000000006141,1515669774.373,0,-24,0,2,21.00,1
0x000000000000000000006141,1515669774.425,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669774.486,0,-23,0,3,21.00,2
0x000000000000000000006141,1515669774.534,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669774.593,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669774.643,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669774.699,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669774.739,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669774.797,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669774.836,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669774.879,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669774.926,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669774.968,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669775.022,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669775.068,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669775.112,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669775.169,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669775.204,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669775.253,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669775.301,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669775.358,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669775.402,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669775.459,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669775.503,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669775.563,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669775.601,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669775.646,0,-23,0,3,21.00,2
0x000000000000000000006141,1515669775.691,0,-23,0,3,21.00,2
0x000000000000000000006141,1515669775.743,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669775.789,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669775.851,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669775.889,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669775.949,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669775.977,0,-24,0,3,21.00,1
0x000000000000000000006141,1515669776.014,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669776.058,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669776.121,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669776.174,0,-28,0,3,21.00,3
0x000000000000000000006141,1515669776.207,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669776.259,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669776.309,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669776.347,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669776.391,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669776.437,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669776.499,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669776.546,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669776.600,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669776.644,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669776.700,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669776.740,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669776.787,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669776.830,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669776.889,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669776.933,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669776.978,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669777.019,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669777.069,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669777.106,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669777.159,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669777.198,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669777.252,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669777.292,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669777.342,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669777.385,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669777.439,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669777.475,0,-24,0,3,21.00,1
0x000000000000000000006141,1515669777.521,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669777.561,0,-22,0,3,21.00,2
0x000000000000000000006141,1515669777.620,0,-27,0,3,21.00,3
0x000000000000000000006141,1515669777.660,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669777.715,0,-22,0,3,21.00,4
0x000000000000000000006141,1515669777.758,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669777.819,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669777.870,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669777.916,0,-23,0,3,21.00,2
0x000000000000000000006141,1515669777.965,0,-23,0,3,21.00,2
0x000000000000000000006141,1515669778.020,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669778.070,0,-26,0,3,21.00,3
0x000000000000000000006141,1515669778.111,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669778.150,0,-23,0,3,21.00,4
0x000000000000000000006141,1515669778.213,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669778.252,0,-25,0,3,21.00,1
0x000000000000000000006141,1515669778.318,0,-23,0,4,21.00,2
0x000000000000000000006141,1515669778.356,0,-23,0,4,21.00,2
0x000000000000000000006141,1515669778.411,0,-26,0,4,21.00,3
0x000000000000000000006141,1515669778.448,0,-26,0,4,21.00,3
0x000000000000000000006141,1515669778.495,0,-22,0,4,21.00,4
0x000000000000000000006141,1515669778.549,0,-22,0,4,21.00,4
0x000000000000000000006141,1515669778.596,0,-25,0,4,21.00,1
0x000000000000000000006141,1515669778.645,0,-25,0,4,21.00,1
0x000000000000000000006141,1515669778.698,0,-23,0,4,21.00,2
0x000000000000000000006141,1515669778.740,0,-22,0,4,21.00,2
0x000000000000000000006141,1515669778.795,0,-26,0,4,21.00,3
0x000000000000000000006141,1515669778.850,0,-27,0,4,21.00,3
0x000000000000000000006141,1515669778.899,0,-23,0,4,21.00,4
0x000000000000000000006141,1515669778.947,0,-22,0,4,21.00,4
0x000000000000000000006141,1515669779.001,0,-25,0,4,21.00,1
0x000000000000000000006141,1515669779.049,0,-25,0,4,21.00,1
0x000000000000000000006141,1515669779.113,0,-23,0,4,21.00,2
0x000000000000000000006141,1515669779.161,0,-23,0,4,21.00,2
0x000000000000000000006141,1515669779.217,0,-26,0,4,21.00,3
0x000000000000000000006141,1515669779.269,0,-26,0,4,21.00,3
0x000000000000000000006141,1515669779.324,0,-22,0,4,21.00,4
0x000000000000000000006141,1515669779.369,0,-23,0,4,21.00,4
0x000000000000000000006141,1515669779.425,0,-25,0,4,21.00,1
