MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:10:26 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515668999.766,0,-30,0,2,21.00,3
0x107010349013305354381889,1515668999.825,0,-30,0,2,21.00,3
0x107010349013305354381889,1515668999.957,0,-30,0,2,21.00,3
0x107010349013305354381889,1515668999.991,0,-28,0,2,21.00,3
0x107010349013305354381889,1515669000.100,0,-32,0,2,21.00,4
0x107010349013305354381889,1515669000.275,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669000.323,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669000.507,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669000.584,0,-30,0,2,21.00,3
0x107010349013305354381889,1515669000.691,0,-33,0,2,21.00,4
0x107010349013305354381889,1515669000.767,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669000.926,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669000.979,0,-28,0,2,21.00,3
0x107010349013305354381889,1515669001.049,0,-33,0,2,21.00,4
0x107010349013305354381889,1515669001.097,0,-33,0,2,21.00,4
0x107010349013305354381889,1515669001.250,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669001.457,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669001.541,0,-30,0,2,21.00,3
0x107010349013305354381889,1515669001.692,0,-28,0,2,21.00,3
0x107010349013305354381889,1515669001.743,0,-28,0,2,21.00,3
0x107010349013305354381889,1515669001.903,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669001.937,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.169,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.202,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.294,0,-33,0,2,21.00,4
0x107010349013305354381889,1515669002.375,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.416,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.544,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.593,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669002.795,0,-30,0,2,21.00,3
0x107010349013305354381889,1515669002.832,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669003.039,0,-30,0,2,21.00,3
0x107010349013305354381889,1515669003.073,0,-29,0,2,21.00,3
0x107010349013305354381889,1515669003.410,0,-28,0,2,21.00,3
0x107010349013305354381889,1515669003.642,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669003.692,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669003.958,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669004.001,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669004.173,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669004.217,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669004.378,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669004.430,0,-28,0,3,21.00,3
0x107010349013305354381889,1515669004.652,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669004.853,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669004.911,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669005.038,0,-33,0,3,21.00,4
0x107010349013305354381889,1515669005.411,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669005.615,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669005.661,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669005.840,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669005.876,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669006.068,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669006.120,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669006.276,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669006.331,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669006.540,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669006.592,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669006.735,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669006.807,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669006.896,0,-33,0,3,21.00,4
0x107010349013305354381889,1515669006.959,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669007.008,0,-30,0,3,21.00,3
0x107010349013305354381889,1515669007.172,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669007.224,0,-29,0,3,21.00,3
0x107010349013305354381889,1515669007.987,0,-30,0,4,21.00,3
0x107010349013305354381889,1515669008.002,0,-30,0,4,21.00,3
0x107010349013305354381889,1515669008.340,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669008.548,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669008.595,0,-28,0,4,21.00,3
0x107010349013305354381889,1515669008.804,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669008.848,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.045,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.101,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.289,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.349,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.599,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.653,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.901,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669009.951,0,-28,0,4,21.00,3
0x107010349013305354381889,1515669010.144,0,-29,0,4,21.00,3
0x107010349013305354381889,1515669010.188,0,-29,0,4,21.00,3
0x107010449013305354211896,1515668999.779,0,-33,0,2,21.00,3
0x107010449013305354211896,1515668999.811,0,-33,0,2,21.00,3
0x107010449013305354211896,1515668999.967,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.015,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.292,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.351,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.518,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.566,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.751,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.798,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669000.938,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.000,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.282,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.319,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.483,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.531,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.712,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.767,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.928,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669001.968,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669002.393,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669002.430,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669002.557,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669002.621,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669002.811,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669002.851,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669003.053,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669003.086,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669003.394,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669003.441,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669003.673,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669003.704,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669003.984,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.034,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.186,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.246,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.391,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.449,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.618,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.671,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.886,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669004.927,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669005.399,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669005.456,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669005.682,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669005.857,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669005.908,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669006.090,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669006.131,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669006.292,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669006.348,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669006.553,0,-33,0,3,21.00,3
