MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:00:32 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515668417.343,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668417.608,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668417.770,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668417.805,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668418.088,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668418.126,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668418.355,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668418.405,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668418.582,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668418.615,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668418.844,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668418.889,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668419.087,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668419.134,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668419.301,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668419.333,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668419.476,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668419.510,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668419.603,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668419.643,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668419.958,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668420.024,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668420.326,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668420.582,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668420.620,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668420.776,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668420.829,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668421.076,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668421.093,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668421.290,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668421.344,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668421.501,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668421.541,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668421.733,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668421.787,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668421.931,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.000,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.300,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.546,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.735,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.794,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.963,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668422.993,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.191,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.233,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.470,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.503,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.746,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.805,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.902,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668423.944,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.094,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.144,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.324,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.355,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.518,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.573,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.750,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668424.795,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668425.048,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.078,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.461,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.510,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.667,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.716,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.890,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668425.922,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668426.483,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668426.515,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668426.688,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668426.767,0,-31,0,1,21.00,3
0x107010449013305354211896,1515668417.352,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668417.398,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668417.544,0,-33,0,3,21.00,3
0x107010449013305354211896,1515668417.620,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668418.632,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668419.105,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668419.525,0,-33,0,3,21.00,3
0x107010449013305354211896,1515668419.945,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668420.001,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668420.301,0,-34,0,3,21.00,3
0x107010449013305354211896,1515668421.128,0,-34,0,4,21.00,3
0x107010449013305354211896,1515668421.514,0,-34,0,4,21.00,3
0x107010449013305354211896,1515668421.977,0,-34,0,4,21.00,3
0x107010449013305354211896,1515668422.214,0,-34,0,4,21.00,3
0x107010449013305354211896,1515668422.784,0,-34,0,4,21.00,3
0x107010449013305354211896,1515668423.513,0,-34,0,4,21.00,3
0x107010449013305354211896,1515668425.031,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.089,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.335,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.377,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.446,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.521,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.705,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.873,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668425.948,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668426.236,0,-34,0,1,21.00,3
0x107010449013305354211896,1515668426.468,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668426.528,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668426.698,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668426.750,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668427.001,0,-33,0,1,21.00,3
0x107010449013305354211896,1515668427.038,0,-33,0,1,21.00,3
0x107010349013305354381889,1515668417.367,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668417.534,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668417.598,0,-30,0,3,21.00,3
0x107010349013305354381889,1515668417.669,0,-31,0,3,21.00,4
0x107010349013305354381889,1515668417.751,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668417.787,0,-29,0,3,21.00,3
0x107010349013305354381889,1515668417.854,0,-31,0,3,21.00,4
0x107010349013305354381889,1515668417.895,0,-31,0,3,21.00,4
0x107010349013305354381889,1515668417.966,0,-31,0,3,21.00,4
0x107010349013305354381889,1515668418.024,0,-31,0,3,21.00,4
0x107010349013305354381889,1515668418.098,0,-30,0,3,21.00,3
