MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:03:37 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515668603.262,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668603.298,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668603.547,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668603.564,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668603.755,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668603.781,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668603.946,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668604.013,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668604.091,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668604.110,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668604.327,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668604.398,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668604.609,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668604.875,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668605.063,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668605.436,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668605.468,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668605.537,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668605.595,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668605.663,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668605.889,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668606.055,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668606.112,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668606.260,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668606.325,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668606.561,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668606.604,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668606.739,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668606.799,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668606.973,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668607.019,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668607.217,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668607.275,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668607.530,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668607.573,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668607.806,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668607.830,0,-30,0,4,21.00,3
0x107010249722621700351874,1515668608.021,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.085,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.266,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.301,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.466,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.508,0,-30,0,4,21.00,3
0x107010249722621700351874,1515668608.659,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.704,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.879,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668608.921,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.073,0,-30,0,4,21.00,3
0x107010249722621700351874,1515668609.150,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.306,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.333,0,-30,0,4,21.00,3
0x107010249722621700351874,1515668609.524,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.573,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.732,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.779,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668609.968,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668610.309,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668610.343,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668610.512,0,-31,0,4,21.00,3
0x107010249722621700351874,1515668610.570,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668610.735,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668610.774,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668610.965,0,-30,0,1,21.00,3
0x107010249722621700351874,1515668611.011,0,-29,0,1,21.00,3
0x107010249722621700351874,1515668611.483,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668611.532,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668611.695,0,-30,0,1,21.00,3
0x107010249722621700351874,1515668611.732,0,-29,0,1,21.00,3
0x107010249722621700351874,1515668612.166,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668612.441,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668612.488,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668612.729,0,-29,0,1,21.00,3
0x107010249722621700351874,1515668612.795,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668612.965,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668612.995,0,-30,0,1,21.00,3
0x107010249722621700351874,1515668613.175,0,-31,0,1,21.00,3
0x107010249722621700351874,1515668613.211,0,-30,0,1,21.00,3
0x107010349013305354381889,1515668603.279,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668603.318,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668603.377,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668603.581,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668603.657,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668603.720,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668603.799,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668603.856,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668603.884,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668603.968,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668603.996,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.081,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.132,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.195,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668604.339,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.379,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.457,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668604.663,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.834,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.885,0,-31,0,3,21.00,3
0x107010349013305354381889,1515668604.916,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668604.964,0,-33,0,3,21.00,4
0x107010349013305354381889,1515668605.053,0,-31,0,3,21.00,3
