MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:55:07 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515671693.987,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671694.056,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671694.942,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671695.840,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671695.904,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671696.161,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671696.198,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671696.476,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671696.516,0,-32,0,2,21.00,1
0x107010349013305354381889,1515671694.078,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671694.126,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671694.187,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671694.234,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671694.299,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671694.360,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671694.408,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671694.462,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671694.508,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671694.545,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671694.710,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671694.745,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671694.832,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671694.871,0,-31,0,2,21.00,4
0x107010349013305354381889,1515671694.994,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671695.036,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671695.108,0,-31,0,2,21.00,4
