MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:40:31 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006151,1515670817.342,0,-23,0,2,21.00,1
0x000000000000000000006151,1515670817.378,0,-23,0,2,21.00,1
0x000000000000000000006151,1515670817.427,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670817.473,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670817.528,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670817.566,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670817.618,0,-20,0,2,21.00,4
0x000000000000000000006151,1515670817.657,0,-20,0,2,21.00,4
0x000000000000000000006151,1515670817.713,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670817.755,0,-23,0,2,21.00,1
0x000000000000000000006151,1515670817.816,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670817.861,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670817.919,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670817.966,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670818.028,0,-20,0,2,21.00,4
0x000000000000000000006151,1515670818.071,0,-20,0,2,21.00,4
0x000000000000000000006151,1515670818.124,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670818.167,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670818.233,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670818.271,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670818.331,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670818.378,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670818.431,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670818.470,0,-20,0,2,21.00,4
0x000000000000000000006151,1515670818.528,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670818.564,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670818.612,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670818.651,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670818.718,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670818.765,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670818.810,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670818.856,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670818.912,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670818.984,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670819.016,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670819.064,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670819.123,0,-24,0,2,21.00,3
0x000000000000000000006151,1515670819.175,0,-24,0,2,21.00,3
0x000000000000000000006151,1515670819.233,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670819.273,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670819.335,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670819.373,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670819.417,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670819.457,0,-21,0,2,21.00,2
0x000000000000000000006151,1515670819.517,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670819.572,0,-24,0,2,21.00,3
0x000000000000000000006151,1515670819.627,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670819.672,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670819.724,0,-23,0,2,21.00,1
0x000000000000000000006151,1515670819.764,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670819.810,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670819.866,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670819.917,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670819.962,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670820.021,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670820.068,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670820.121,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670820.158,0,-24,0,2,21.00,1
0x000000000000000000006151,1515670820.209,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670820.248,0,-20,0,2,21.00,2
0x000000000000000000006151,1515670820.305,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670820.363,0,-24,0,2,21.00,3
0x000000000000000000006151,1515670820.425,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670820.473,0,-19,0,2,21.00,4
0x000000000000000000006151,1515670820.532,0,-23,0,2,21.00,1
