MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:47:10 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006151,1515671215.762,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671215.799,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671215.859,0,-24,0,2,21.00,2
0x000000000000000000006151,1515671215.896,0,-22,0,2,21.00,2
0x000000000000000000006151,1515671215.955,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671216.004,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671216.054,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671216.096,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671216.149,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671216.194,0,-25,0,2,21.00,1
0x000000000000000000006151,1515671216.256,0,-23,0,2,21.00,2
0x000000000000000000006151,1515671216.281,0,-23,0,2,21.00,2
0x000000000000000000006151,1515671216.335,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671216.379,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671216.438,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671216.480,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671216.534,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671216.579,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671216.635,0,-24,0,2,21.00,2
0x000000000000000000006151,1515671216.676,0,-23,0,2,21.00,2
0x000000000000000000006151,1515671216.723,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671216.774,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671216.819,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671216.860,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671216.913,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671216.977,0,-26,0,2,21.00,1
0x000000000000000000006151,1515671217.036,0,-23,0,2,21.00,2
0x000000000000000000006151,1515671217.074,0,-24,0,2,21.00,2
0x000000000000000000006151,1515671217.124,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671217.171,0,-27,0,2,21.00,3
0x000000000000000000006151,1515671217.220,0,-21,0,2,21.00,4
0x000000000000000000006151,1515671217.263,0,-21,0,2,21.00,4
