MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:58:57 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515671923.389,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671923.452,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671924.896,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671924.925,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671925.626,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671925.689,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671926.297,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671926.355,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515671929.298,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515671929.340,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515671932.488,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515671932.532,0,-32,0,4,21.00,1
0x107010549013305354071900,1515671923.403,0,-34,0,2,21.00,1
0x107010549013305354071900,1515671923.434,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671924.877,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671924.935,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671925.640,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671925.677,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671926.308,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671926.367,0,-33,0,2,21.00,1
0x107010549013305354071900,1515671926.957,0,-34,0,2,21.00,4
0x107010549013305354071900,1515671929.281,0,-33,0,3,21.00,1
0x107010549013305354071900,1515671929.327,0,-33,0,3,21.00,1
0x107010549013305354071900,1515671932.478,0,-33,0,4,21.00,1
0x107010549013305354071900,1515671932.556,0,-33,0,4,21.00,1
0x107010549013305354071900,1515671933.145,0,-33,0,4,21.00,1
0x107010549013305354071900,1515671933.187,0,-33,0,4,21.00,1
0x107010349013305354381889,1515671923.483,0,-29,0,2,21.00,3
