MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:39:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515670750.131,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670750.170,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670750.526,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670750.560,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670752.495,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670752.539,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670753.438,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670753.466,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670754.340,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670754.366,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670755.069,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670755.097,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670755.743,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670755.776,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670756.258,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670756.292,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670756.545,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670756.586,0,-32,0,3,21.00,1
0x107010249722621700351874,1515670750.205,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670750.601,0,-29,0,2,21.00,3
0x107010249722621700351874,1515670750.654,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670750.887,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670750.943,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670751.101,0,-29,0,2,21.00,3
0x107010249722621700351874,1515670751.141,0,-29,0,2,21.00,3
0x107010249722621700351874,1515670751.327,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670751.353,0,-29,0,2,21.00,3
0x107010249722621700351874,1515670751.618,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670751.862,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670751.901,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670752.066,0,-29,0,2,21.00,3
0x107010249722621700351874,1515670752.092,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670752.284,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670752.349,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670752.571,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670752.637,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670752.792,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670752.863,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670753.071,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670753.235,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670753.270,0,-30,0,2,21.00,3
0x107010249722621700351874,1515670753.521,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670753.568,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670753.732,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670753.786,0,-31,0,2,21.00,3
0x107010249722621700351874,1515670754.406,0,-29,0,3,21.00,3
0x107010249722621700351874,1515670754.487,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670754.666,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670754.729,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670754.891,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670754.912,0,-29,0,3,21.00,3
0x107010249722621700351874,1515670755.137,0,-30,0,3,21.00,3
0x107010249722621700351874,1515670755.191,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670755.397,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670755.577,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670755.591,0,-30,0,3,21.00,3
0x107010249722621700351874,1515670755.820,0,-29,0,3,21.00,3
0x107010249722621700351874,1515670755.869,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670756.035,0,-30,0,3,21.00,3
0x107010249722621700351874,1515670756.095,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670756.373,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670756.831,0,-30,0,3,21.00,3
0x107010249722621700351874,1515670756.870,0,-29,0,3,21.00,3
0x107010249722621700351874,1515670757.035,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670757.068,0,-30,0,3,21.00,3
0x107010249722621700351874,1515670757.228,0,-29,0,3,21.00,3
0x107010249722621700351874,1515670757.300,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670757.473,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670757.503,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670757.690,0,-31,0,3,21.00,3
0x107010249722621700351874,1515670757.742,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670757.898,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670757.941,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670758.272,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670758.731,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670758.750,0,-30,0,4,21.00,3
0x107010249722621700351874,1515670758.928,0,-30,0,4,21.00,3
0x107010249722621700351874,1515670759.005,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670759.182,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670759.498,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670759.552,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670759.710,0,-30,0,4,21.00,3
0x107010249722621700351874,1515670759.788,0,-31,0,4,21.00,3
0x107010249722621700351874,1515670760.021,0,-31,0,4,21.00,3
0x107010449013305354211896,1515670750.236,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670750.276,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670750.614,0,-33,0,2,21.00,3
0x107010449013305354211896,1515670750.665,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670750.920,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670750.966,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670751.159,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670751.336,0,-33,0,2,21.00,3
0x107010449013305354211896,1515670751.368,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670751.592,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670751.928,0,-34,0,2,21.00,3
0x107010449013305354211896,1515670752.126,0,-33,0,2,21.00,3
