MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:52:48 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515671553.200,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671553.254,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671553.340,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671553.420,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671553.465,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671553.525,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671553.568,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671553.625,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671553.676,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671553.817,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671553.868,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.129,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.166,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.258,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671554.461,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671554.481,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.538,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671554.596,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671554.640,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.693,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.768,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671554.810,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671554.876,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671554.921,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671555.182,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671555.221,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671555.309,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671555.338,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671555.402,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671555.453,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671555.532,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671555.579,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671555.802,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671555.854,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671556.025,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671556.072,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671556.139,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671556.203,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671556.432,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671556.477,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671556.547,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671556.574,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671556.634,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671556.684,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671557.039,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671557.089,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671557.161,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671557.206,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671557.329,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671557.417,0,-30,0,3,21.00,3
0x107010349013305354381889,1515671557.488,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671557.620,0,-30,0,3,21.00,3
0x107010349013305354381889,1515671557.656,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671557.731,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671557.769,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671557.835,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671557.881,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671558.134,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671558.179,0,-29,0,3,21.00,3
0x107010349013305354381889,1515671558.264,0,-32,0,3,21.00,4
0x107010349013305354381889,1515671558.292,0,-32,0,3,21.00,4
