MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:23:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661866,1517376186.121,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376186.393,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376186.491,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376186.585,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376186.636,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376186.826,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376187.238,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376187.507,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376187.611,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376188.001,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376188.063,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376188.276,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376188.558,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376188.930,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376189.113,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376189.326,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376189.764,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376190.034,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376190.084,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376190.413,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376190.609,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376190.803,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376190.994,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376191.162,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376191.613,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376191.794,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376191.983,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376192.241,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376192.414,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376192.877,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376193.039,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376193.654,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376193.918,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376194.764,0,-33,0,1,21.00,4
0x107010145263633097661866,1517376195.226,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376186.131,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376186.383,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376186.473,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376186.617,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376187.041,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376187.472,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376187.651,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376187.821,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376188.034,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376188.266,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376188.319,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376188.940,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376189.104,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376189.347,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376189.542,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376189.737,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376189.785,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376190.018,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376190.277,0,-32,0,1,21.00,4
0x107010145263633097591872,1517376190.354,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376190.849,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376190.960,0,-32,0,1,21.00,4
0x107010145263633097591872,1517376191.174,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376191.376,0,-32,0,1,21.00,4
0x107010145263633097591872,1517376192.010,0,-32,0,1,21.00,4
0x107010145263633097591872,1517376192.209,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376192.404,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376192.443,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376192.621,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376192.654,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376192.833,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376192.890,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376193.114,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376193.529,0,-32,0,1,21.00,4
0x107010145263633097591872,1517376193.604,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376193.898,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.083,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.118,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.299,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.334,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.511,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.892,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376194.983,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376195.039,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376195.217,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376195.475,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376195.690,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376195.901,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376196.114,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376196.524,0,-33,0,1,21.00,4
0x107010145263633097591872,1517376196.574,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376186.142,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376186.352,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376186.575,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376186.855,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376187.031,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376187.074,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376187.228,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376187.308,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376187.634,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376187.801,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376188.076,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376188.621,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376188.732,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376188.874,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376188.950,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376189.560,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376189.719,0,-30,0,1,21.00,4
0x107010349013305353841887,1517376190.053,0,-30,0,1,21.00,4
