MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:23:41 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517376209.028,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376209.320,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376209.400,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376209.520,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376209.576,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376209.630,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376209.793,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376209.872,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376209.975,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376210.133,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376210.535,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376210.598,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376210.627,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376210.713,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376210.929,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376211.034,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376211.226,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376211.269,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376211.561,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376211.649,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376211.702,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376211.769,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376211.811,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376211.864,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376211.903,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376211.989,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376212.078,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376212.176,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376212.295,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376212.399,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376212.532,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376212.751,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376212.792,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376212.921,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376213.207,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376213.285,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376213.315,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376213.374,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376213.545,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376213.584,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376213.656,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376213.751,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376213.807,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376213.853,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376213.916,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376213.958,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376214.017,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376214.066,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376214.126,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376214.172,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376214.253,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376214.312,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376214.361,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376214.396,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376214.482,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376214.561,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376214.739,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376214.914,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376214.949,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376215.014,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376215.090,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376215.194,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376215.346,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376215.405,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376215.461,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376215.523,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376215.641,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376215.895,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376216.270,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376216.315,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376216.522,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376216.794,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376216.877,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376216.905,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376216.970,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376217.095,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.263,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.310,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.476,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.540,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.726,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.930,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376217.975,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376218.040,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376218.173,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376218.255,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376218.461,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376218.506,0,-32,0,1,21.00,2
0x107010349013305354381890,1517376218.550,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376218.590,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376218.659,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376218.760,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376218.793,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376219.019,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376209.041,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376209.074,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376209.251,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376209.301,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376209.534,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376209.565,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376209.962,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376210.029,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376210.545,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376210.609,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376211.025,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376211.054,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376211.216,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376211.284,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376211.328,0,-29,0,1,21.00,3
