MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:21:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517376082.718,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376082.786,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376082.840,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.092,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.303,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.354,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.528,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.784,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.958,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376083.988,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376084.180,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376084.225,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376084.651,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376084.719,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376084.909,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376085.454,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376085.677,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376085.721,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376085.898,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376085.953,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376086.120,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376086.180,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376086.364,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376086.594,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376086.635,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376086.707,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376086.911,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376087.426,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376087.874,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376088.070,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376088.647,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376088.920,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376089.131,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376089.542,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376089.849,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376090.089,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376090.323,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376090.528,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376090.583,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376091.013,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376091.276,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376091.477,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376091.542,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376091.755,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376091.835,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376092.029,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376092.240,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376092.308,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376092.395,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376092.653,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376092.882,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376092.923,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376093.097,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376093.146,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376093.325,0,-29,0,1,21.00,3
0x000000000000000000006161,1517376082.741,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376082.776,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376082.920,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376082.977,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376083.148,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376083.195,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376083.388,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376083.437,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376083.817,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.021,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.082,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.257,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.327,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.507,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.734,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.781,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376084.942,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376085.008,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376085.237,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376085.290,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376085.515,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376085.574,0,-29,0,1,21.00,4
0x000000000000000000006161,1517376085.749,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376086.030,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376086.208,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376086.292,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376086.450,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376086.604,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376086.648,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376086.768,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376086.846,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376086.993,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376087.045,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376087.208,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376087.268,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376087.441,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376087.494,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376087.669,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376088.257,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376088.305,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376088.501,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376088.573,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376088.710,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376088.776,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376088.960,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376089.013,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376089.220,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376089.378,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376089.443,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376089.621,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376089.680,0,-29,0,1,21.00,4
0x000000000000000000006161,1517376089.872,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376089.926,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376090.103,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376090.176,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376090.368,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376090.421,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376090.597,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376090.655,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376090.825,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376090.878,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376091.061,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376091.109,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376091.335,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376091.408,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376091.688,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376091.918,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.093,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.148,0,-31,0,1,21.00,4
0x000000000000000000006161,1517376092.252,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376092.298,0,-31,0,1,21.00,2
0x000000000000000000006161,1517376092.423,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.481,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.713,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.769,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.948,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376092.994,0,-30,0,1,21.00,4
0x000000000000000000006161,1517376093.158,0,-30,0,1,21.00,4
0x107010549013305354071900,1517376082.751,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376082.823,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376082.898,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376083.120,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376083.550,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376084.170,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376084.485,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376085.210,0,-33,0,1,21.00,3
