MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:18:18 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097591868,1517375872.722,0,-33,0,1,21.00,1
0x107010145263633097591868,1517375872.759,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375875.395,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375875.422,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375875.980,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375876.029,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375878.425,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375878.458,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375878.720,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375878.758,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375879.019,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375879.053,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375880.152,0,-32,0,1,21.00,1
0x107010145263633097591868,1517375880.193,0,-32,0,1,21.00,1
0x107010549013305354071900,1517375872.802,0,-33,0,1,21.00,2
0x107010549013305354071900,1517375872.832,0,-33,0,1,21.00,2
0x107010549013305354071900,1517375881.659,0,-33,0,1,21.00,2
0x107010549013305354071900,1517375881.947,0,-33,0,1,21.00,2
0x107010549013305354071900,1517375882.007,0,-33,0,1,21.00,2
0x000000000000000000004005,1517375872.847,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375872.911,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375872.957,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375873.136,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375873.365,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375873.434,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375873.634,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375874.044,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375874.093,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375874.280,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375874.443,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375874.505,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375874.785,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375874.985,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375875.187,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375875.234,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375875.465,0,-28,0,1,21.00,3
0x000000000000000000004005,1517375875.730,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375875.792,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375876.072,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375876.247,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375876.717,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375877.018,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375877.069,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375877.278,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375877.319,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375877.353,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375877.550,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375877.600,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375877.669,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375877.725,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375878.042,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375878.576,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375878.857,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375879.129,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375879.322,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375879.372,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375879.543,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375879.591,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375879.764,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375879.792,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375880.240,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375880.293,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375880.349,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375880.888,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375881.064,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375881.099,0,-31,0,1,21.00,2
0x000000000000000000004005,1517375881.148,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375881.647,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375881.677,0,-32,0,1,21.00,2
0x000000000000000000004005,1517375881.739,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375881.792,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375881.964,0,-31,0,1,21.00,2
0x000000000000000000004005,1517375881.994,0,-31,0,1,21.00,2
0x000000000000000000004005,1517375882.050,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375882.101,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375882.283,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375882.318,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375882.750,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375882.932,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375882.972,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375883.161,0,-30,0,1,21.00,3
0x000000000000000000004005,1517375883.214,0,-30,0,1,21.00,3
0x107010349013305354381890,1517375872.874,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375872.927,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375873.116,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375873.144,0,-27,0,1,21.00,3
