MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:30:16 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661864,1517376603.502,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376603.542,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376603.725,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376603.879,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376603.993,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376604.062,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376604.149,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376604.200,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376604.291,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376604.477,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376604.521,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376604.626,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376604.677,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376604.727,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376604.798,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376605.054,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376605.135,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376605.192,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376605.265,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376605.351,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376605.445,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376605.541,0,-31,0,1,21.00,3
0x107010145263633097661864,1517376605.611,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376605.718,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376605.933,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376606.111,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376606.427,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376606.462,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376606.634,0,-32,0,1,21.00,3
