MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:30:29 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517376617.000,0,-31,0,1,21.00,3
0x107010249722621700351874,1517376617.040,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376617.211,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376617.683,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376618.124,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376618.836,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376618.867,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376619.334,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376619.389,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376619.632,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376619.689,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376619.850,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376619.894,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376620.128,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376620.161,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376620.658,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376620.714,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376620.974,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376621.161,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376621.209,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376621.382,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376621.441,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376621.650,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376621.858,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376623.103,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376623.159,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376623.335,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376623.397,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376623.585,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376623.851,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376624.151,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376624.431,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376624.658,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376624.889,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376625.076,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376625.136,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376625.339,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376625.849,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376625.899,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376626.633,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376627.123,0,-32,0,1,21.00,3
0x000000000000000000004005,1517376617.023,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376617.232,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376617.414,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376617.467,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376617.639,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376617.921,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376618.112,0,-29,0,1,21.00,3
