MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:30:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517376631.500,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376631.749,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376631.936,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376631.980,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376632.168,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376632.233,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376632.576,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376632.756,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376633.217,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376633.405,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376633.584,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376633.654,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376633.844,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376634.143,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376634.417,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376634.628,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376635.375,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376635.430,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376635.585,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376635.628,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376635.814,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376635.846,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376636.046,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376636.473,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376637.218,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376637.438,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376637.492,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376637.707,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376637.918,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376638.096,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376638.139,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376638.576,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376638.622,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376638.792,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376639.237,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376640.258,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376640.312,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376640.537,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376640.893,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376641.078,0,-32,0,1,21.00,3
0x107010349013305354381890,1517376631.509,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376631.563,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376631.759,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376631.947,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376632.155,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376632.199,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376632.430,0,-33,0,1,21.00,2
