MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:49:18 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517377746.380,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377746.423,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377746.930,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377746.967,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377747.136,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377747.210,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377747.252,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377747.432,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377747.469,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377747.513,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377747.573,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377747.793,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377748.092,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377748.127,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377748.509,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377748.546,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377748.715,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377748.771,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377749.099,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377749.159,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377749.368,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377749.769,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377750.090,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377750.221,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377750.374,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377750.447,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377750.857,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377751.068,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377751.265,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377751.436,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377751.473,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377751.525,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377751.592,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377751.798,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377751.990,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377752.027,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377752.207,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377752.613,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377752.674,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377752.858,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377753.137,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377753.201,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377753.498,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377753.574,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377754.187,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377754.385,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377754.422,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377754.604,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377754.667,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.081,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.129,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.273,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.320,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.522,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.846,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377755.891,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377756.048,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377756.093,0,-30,0,1,21.00,3
0x107010249722621700351874,1517377746.392,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377746.438,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377746.719,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377746.765,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377747.229,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377748.102,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377748.314,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377748.727,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377748.786,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377749.131,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377749.318,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377749.377,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377749.602,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377750.630,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377752.002,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377753.564,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377753.595,0,-33,0,1,21.00,3
0x107010249722621700351874,1517377755.299,0,-33,0,1,21.00,3
0x107010349013305354381890,1517377746.401,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377746.915,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377746.978,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377747.126,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377747.159,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377747.422,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377747.479,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377747.536,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377747.767,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377747.821,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377748.293,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377748.332,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377748.522,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377749.087,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377749.141,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377749.333,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377749.559,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377749.744,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377749.789,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377750.166,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377750.427,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377750.588,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377750.651,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377750.837,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377751.005,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377751.049,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377751.242,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377751.289,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377751.483,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377751.548,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377751.758,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377751.786,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377751.976,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377752.037,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377752.180,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377752.235,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377752.634,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377752.833,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377752.890,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377753.158,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377753.462,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377753.514,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377753.550,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377753.605,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377753.893,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377753.938,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377754.168,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377754.208,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377754.395,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377754.617,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377754.650,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377755.067,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377755.113,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377755.287,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377755.332,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377755.499,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377755.540,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377756.058,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377756.104,0,-28,0,1,21.00,3
0x107010349013305353841887,1517377746.473,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377746.542,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377746.860,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377747.329,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377747.612,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377747.655,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377747.989,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377748.028,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377748.615,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377748.658,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377748.994,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377749.213,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377749.403,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377749.676,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377749.863,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377749.962,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377750.033,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377750.330,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377750.530,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377750.915,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377751.112,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377751.166,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377751.327,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377751.362,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377751.858,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377751.918,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377752.085,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377752.136,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377752.439,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377752.543,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377753.675,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377753.802,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377754.064,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377754.122,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377754.313,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377754.837,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377755.175,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377755.206,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377755.747,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377755.948,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377755.977,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377756.172,0,-33,0,1,21.00,4
0x107010549013305353911907,1517377746.483,0,-34,0,1,21.00,4
0x107010549013305353911907,1517377746.510,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377746.492,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377746.829,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377747.023,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377747.348,0,-35,0,1,21.00,4
0x108010149872360088493237,1517377747.635,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377747.980,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377748.038,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377748.232,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377748.413,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377748.605,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377749.239,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377749.645,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377749.904,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377750.022,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377750.269,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377750.297,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377751.337,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377751.624,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377751.697,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377751.928,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377752.115,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377752.724,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377752.763,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377752.931,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377752.998,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377753.249,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377753.666,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377753.698,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377753.776,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377753.849,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377754.101,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377754.270,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377754.298,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377754.949,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377755.012,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377755.165,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377755.229,0,-34,0,1,21.00,4
0x108010149872360088493237,1517377755.456,0,-34,0,1,21.00,4
