MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:47:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517377643.098,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377643.162,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377643.640,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377643.684,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377643.750,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377643.927,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377643.979,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377644.178,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377644.229,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377644.382,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377644.456,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377644.505,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377644.538,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377644.906,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377644.994,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377645.091,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377645.279,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377645.696,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377645.890,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377645.923,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377645.997,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377646.627,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377646.687,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377646.839,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377647.174,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377647.255,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377647.584,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377647.784,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377647.823,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377648.220,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377648.262,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377648.717,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377648.965,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377649.125,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377649.209,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377649.908,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377649.952,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377650.335,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377650.411,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377650.627,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377650.688,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377650.738,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377650.936,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377650.993,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377651.191,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377651.432,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377651.472,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377651.538,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377651.709,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377651.792,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377651.839,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377651.906,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377652.109,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377652.497,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377652.527,0,-30,0,1,21.00,3
0x107010349013305354381890,1517377643.111,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377643.328,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377643.727,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377643.788,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377644.479,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377644.549,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377644.718,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377644.919,0,-33,0,1,21.00,2
0x107010349013305354381890,1517377644.968,0,-32,0,1,21.00,2
0x107010349013305354381890,1517377645.036,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377645.066,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377645.239,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377645.466,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377645.678,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377645.719,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377645.903,0,-33,0,1,21.00,2
0x107010349013305354381890,1517377645.978,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377646.024,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377646.229,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377646.395,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377646.437,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377646.649,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377646.852,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377646.937,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377647.201,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377647.617,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377647.774,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377648.007,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377648.055,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377648.229,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377648.494,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377648.553,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377649.135,0,-33,0,1,21.00,2
0x107010349013305354381890,1517377649.232,0,-33,0,1,21.00,2
0x107010349013305354381890,1517377649.327,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377649.512,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377649.695,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377649.739,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377649.962,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377650.345,0,-32,0,1,21.00,2
0x107010349013305354381890,1517377650.387,0,-32,0,1,21.00,2
