MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:52:57 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517377965.558,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377965.614,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377965.676,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377965.711,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377965.878,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377965.913,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377966.279,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377966.316,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377966.506,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377966.537,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377966.928,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377966.987,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377967.136,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377967.192,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377967.371,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377968.023,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377968.454,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377968.489,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377968.880,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377968.923,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377969.105,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377969.140,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377969.217,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377969.441,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377969.490,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377969.667,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377969.994,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377970.035,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377970.428,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377970.475,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377970.545,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377970.723,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377970.764,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377970.843,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377971.068,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377971.167,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377971.356,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377971.404,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377971.560,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377971.635,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377971.855,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377972.062,0,-30,0,1,21.00,2
0x000000000000000000004005,1517377972.118,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377972.316,0,-31,0,1,21.00,2
0x000000000000000000004005,1517377972.439,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377972.480,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377972.877,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377973.270,0,-30,0,1,21.00,3
