MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:54:13 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517378033.837,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378033.865,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378034.021,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378034.091,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378034.274,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378034.571,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378034.627,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378034.874,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378034.906,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378035.087,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378035.126,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378035.287,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378035.347,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378035.408,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378035.474,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378035.617,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378035.655,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378035.764,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378035.967,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378036.149,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378036.206,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378036.410,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378036.578,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378036.633,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378036.839,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.035,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.083,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.263,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.295,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.490,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.543,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.790,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378037.830,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378037.896,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378037.946,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378038.119,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378038.177,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378038.406,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378038.558,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378038.611,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378038.663,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378038.709,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378038.868,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378038.925,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378039.135,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378039.346,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378039.539,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378039.932,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378039.986,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378040.187,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378040.367,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378040.400,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378040.801,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378041.017,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378041.060,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378041.242,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378041.280,0,-30,0,1,21.00,2
0x000000000000000000004005,1517378041.344,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378041.967,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.011,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.216,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.398,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.456,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.605,0,-30,0,1,21.00,2
0x000000000000000000004005,1517378042.655,0,-30,0,1,21.00,2
0x000000000000000000004005,1517378042.705,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.745,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.915,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378042.957,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378043.149,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378043.390,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378043.428,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378043.474,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378043.954,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378043.982,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378044.046,0,-30,0,1,21.00,3
0x107010349013305354381891,1517378033.876,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378034.245,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378034.306,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378034.617,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378035.424,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378035.483,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378035.751,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378035.907,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378035.953,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.134,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.194,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.377,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.559,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.608,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.794,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378036.849,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378037.093,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378037.308,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378037.474,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378037.520,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378037.883,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378037.957,0,-34,0,1,21.00,3
0x107010349013305354381891,1517378038.695,0,-34,0,1,21.00,3
