MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 3:01:11 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006171,1517378456.406,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378456.442,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378456.490,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378456.531,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378456.702,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378456.749,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378456.926,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378456.974,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378457.052,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378457.115,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378457.279,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378457.328,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378457.496,0,-26,0,1,21.00,4
0x000000000000000000006171,1517378457.541,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378457.623,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378457.660,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378457.703,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378457.752,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378457.820,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378457.852,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378457.982,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378458.028,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378458.108,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378458.140,0,-30,0,1,21.00,1
0x000000000000000000006171,1517378458.357,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378458.405,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378458.491,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378458.553,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378458.579,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378458.615,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378458.926,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378458.986,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378459.083,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378459.146,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378459.195,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378459.270,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378459.314,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378459.355,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378459.397,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378459.572,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378459.633,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378459.696,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378459.733,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378459.798,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378459.835,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378459.871,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378459.914,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378460.010,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378460.063,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378460.084,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378460.139,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378460.345,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378460.398,0,-26,0,1,21.00,4
0x000000000000000000006171,1517378460.578,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378460.624,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378460.786,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378460.836,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378460.927,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378460.966,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378461.010,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.060,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.229,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.270,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.373,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378461.407,0,-32,0,1,21.00,3
0x000000000000000000006171,1517378461.440,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.496,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.565,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378461.606,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378461.732,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.776,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378461.842,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378461.889,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378462.016,0,-28,0,1,21.00,4
0x000000000000000000006171,1517378462.069,0,-27,0,1,21.00,4
0x000000000000000000006171,1517378462.149,0,-31,0,1,21.00,1
0x000000000000000000006171,1517378462.198,0,-31,0,1,21.00,1
