MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:56:36 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517378183.130,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378183.194,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378183.343,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378183.388,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378183.453,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378183.672,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378183.869,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378183.900,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378184.120,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378184.216,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378184.260,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378184.409,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378184.441,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378184.503,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378184.537,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378184.835,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378184.984,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378185.190,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378185.626,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378185.765,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378185.822,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378185.851,0,-26,0,1,21.00,3
0x107010349013305354381890,1517378186.139,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378186.496,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378186.546,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378186.727,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378186.748,0,-27,0,1,21.00,3
0x107010349013305354381890,1517378187.041,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378187.199,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378187.419,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378187.469,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378187.771,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378187.809,0,-31,0,1,21.00,2
0x107010349013305354381890,1517378187.832,0,-27,0,1,21.00,3
0x107010349013305354381890,1517378187.889,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378188.040,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378188.096,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378188.258,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378188.294,0,-27,0,1,21.00,3
0x107010349013305354381890,1517378188.563,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378188.657,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378188.861,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378188.951,0,-27,0,1,21.00,3
0x107010349013305354381890,1517378189.028,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378189.238,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378189.397,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378189.421,0,-32,0,1,21.00,2
0x107010349013305354381890,1517378189.479,0,-28,0,1,21.00,3
0x107010349013305354381890,1517378189.764,0,-32,0,1,21.00,2
