MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:13:12 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211892,1515672778.388,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672778.426,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672778.676,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672778.713,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672778.957,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672778.994,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672779.256,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672779.282,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672779.536,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672779.584,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672779.840,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672779.881,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672780.136,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672780.171,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672780.522,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672780.560,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672780.808,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672780.856,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.116,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.142,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.409,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.436,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.665,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.702,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.956,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672781.985,0,-33,0,2,21.00,2
0x107010449013305354211892,1515672782.259,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672782.290,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672782.574,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672782.604,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672782.881,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672782.922,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672783.178,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672783.211,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672783.485,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672783.518,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672783.778,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672783.804,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672784.086,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672784.121,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672784.372,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672784.405,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672784.675,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672784.709,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.053,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.081,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.346,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.382,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.633,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.661,0,-32,0,3,21.00,2
0x107010449013305354211892,1515672785.995,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.025,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.253,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.293,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.566,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.596,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.864,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672786.894,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672787.235,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672787.270,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672787.531,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672787.582,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672787.847,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672787.880,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672788.108,0,-32,0,4,21.00,2
0x107010449013305354211892,1515672788.142,0,-32,0,4,21.00,2
0x000000000000000000006181,1515672778.409,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672778.458,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672778.505,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672778.556,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672778.602,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672778.662,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672778.698,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672778.747,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672778.789,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672778.838,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672778.884,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672778.945,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672778.980,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.023,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.070,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.130,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672779.171,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672779.230,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.269,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.317,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.358,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.414,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672779.462,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672779.524,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.562,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.610,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.655,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.703,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672779.759,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672779.822,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.860,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672779.908,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672779.953,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.005,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672780.047,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672780.109,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672780.146,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672780.199,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.255,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.310,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672780.347,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672780.507,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672780.547,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672780.596,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.638,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.693,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672780.734,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672780.794,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672780.834,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672780.882,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.928,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672780.976,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.021,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.093,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.129,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.174,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672781.224,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672781.277,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.318,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.383,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.420,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.461,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672781.511,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672781.575,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.599,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.645,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.683,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.729,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672781.782,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672781.834,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.871,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672781.935,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672781.973,0,-16,0,2,21.00,2
0x000000000000000000006181,1515672782.019,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672782.063,0,-20,0,2,21.00,3
0x000000000000000000006181,1515672782.123,0,-17,0,2,21.00,4
0x000000000000000000006181,1515672782.169,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672782.238,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672782.274,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672782.322,0,-20,0,3,21.00,3
0x000000000000000000006181,1515672782.379,0,-20,0,3,21.00,3
0x000000000000000000006181,1515672782.443,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672782.487,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672782.553,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672782.588,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672782.634,0,-20,0,3,21.00,3
0x000000000000000000006181,1515672782.680,0,-20,0,3,21.00,3
0x000000000000000000006181,1515672782.744,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672782.795,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672782.858,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672782.895,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672782.943,0,-20,0,3,21.00,3
0x000000000000000000006181,1515672782.991,0,-20,0,3,21.00,3
0x000000000000000000006181,1515672783.046,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672783.091,0,-17,0,3,21.00,4
0x000000000000000000006181,1515672783.156,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672783.192,0,-16,0,3,21.00,2
0x000000000000000000006181,1515672783.240,0,-20,0,3,21.00,3
