MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:16:47 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006181,1515672993.135,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672993.207,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672993.454,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672993.520,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672993.564,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672993.608,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672993.873,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672993.941,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672993.989,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672994.032,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672994.300,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672994.336,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672994.383,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672994.428,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672994.732,0,-24,0,2,21.00,2
0x000000000000000000006181,1515672995.004,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672995.055,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672995.092,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672995.141,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672995.431,0,-24,0,2,21.00,2
0x000000000000000000006181,1515672995.711,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672995.752,0,-24,0,2,21.00,2
0x000000000000000000006181,1515672996.041,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672996.068,0,-30,0,2,21.00,1
0x000000000000000000006181,1515672996.149,0,-24,0,2,21.00,2
0x000000000000000000006181,1515672996.476,0,-24,0,2,21.00,2
0x000000000000000000006181,1515672996.737,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672996.784,0,-23,0,2,21.00,2
0x000000000000000000006181,1515672997.076,0,-30,0,3,21.00,1
0x000000000000000000006181,1515672997.120,0,-30,0,3,21.00,1
0x000000000000000000006181,1515672997.166,0,-23,0,3,21.00,2
0x000000000000000000006181,1515672997.211,0,-23,0,3,21.00,2
0x000000000000000000006181,1515672997.483,0,-30,0,3,21.00,1
0x000000000000000000006181,1515672997.545,0,-30,0,3,21.00,1
0x000000000000000000006181,1515672997.575,0,-23,0,3,21.00,2
0x000000000000000000006181,1515672997.653,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672997.881,0,-30,0,3,21.00,1
0x000000000000000000006181,1515672997.927,0,-30,0,3,21.00,1
0x000000000000000000006181,1515672998.001,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672998.049,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672998.092,0,-32,0,3,21.00,3
0x000000000000000000006181,1515672998.352,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672998.592,0,-31,0,3,21.00,1
0x000000000000000000006181,1515672998.623,0,-31,0,3,21.00,1
0x000000000000000000006181,1515672998.667,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672998.725,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672998.989,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672999.011,0,-24,0,3,21.00,2
0x000000000000000000006181,1515672999.276,0,-31,0,3,21.00,1
0x000000000000000000006181,1515672999.318,0,-31,0,3,21.00,1
0x000000000000000000006181,1515672999.343,0,-23,0,3,21.00,2
0x000000000000000000006181,1515672999.386,0,-23,0,3,21.00,2
0x000000000000000000006181,1515672999.662,0,-31,0,3,21.00,1
