MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:26:03 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211892,1515673550.288,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673550.340,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673550.735,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673551.176,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673551.575,0,-34,0,2,21.00,3
0x107010449013305354211892,1515673551.930,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673552.191,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673552.246,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673552.679,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673552.771,0,-34,0,2,21.00,3
0x107010449013305354211892,1515673553.038,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673553.122,0,-34,0,2,21.00,3
0x107010449013305354211892,1515673553.182,0,-34,0,2,21.00,3
0x107010449013305354211892,1515673553.472,0,-33,0,2,21.00,2
0x107010449013305354211892,1515673553.918,0,-34,0,2,21.00,3
0x107010449013305354211892,1515673554.152,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673554.224,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673554.523,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673554.620,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673554.809,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673554.870,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673555.224,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673555.264,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673555.315,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673555.662,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673555.936,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.019,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673556.209,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.231,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.522,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.552,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.605,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673556.677,0,-33,0,3,21.00,3
0x107010449013305354211892,1515673556.825,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.900,0,-33,0,3,21.00,2
0x107010449013305354211892,1515673556.940,0,-33,0,3,21.00,3
0x107010449013305354211892,1515673557.205,0,-32,0,3,21.00,2
0x107010449013305354211892,1515673557.249,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673557.292,0,-34,0,3,21.00,3
0x107010449013305354211892,1515673557.525,0,-32,0,3,21.00,2
0x107010449013305354211892,1515673557.599,0,-32,0,3,21.00,2
0x107010449013305354211892,1515673557.929,0,-32,0,4,21.00,2
0x107010449013305354211892,1515673558.268,0,-32,0,4,21.00,2
0x107010449013305354211892,1515673558.296,0,-32,0,4,21.00,2
0x107010449013305354211892,1515673558.358,0,-33,0,4,21.00,3
0x107010449013305354211892,1515673558.669,0,-32,0,4,21.00,2
0x107010449013305354211892,1515673558.719,0,-33,0,4,21.00,3
0x107010449013305354211892,1515673559.502,0,-32,0,4,21.00,2
0x107010449013305354211892,1515673559.895,0,-32,0,4,21.00,2
0x107010449013305354211892,1515673559.994,0,-34,0,4,21.00,3
0x107010249018591604251877,1515673550.297,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673550.329,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673550.709,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673550.766,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673551.164,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673551.206,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673551.465,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673551.537,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673551.941,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673553.083,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673553.453,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673553.716,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673553.772,0,-31,0,2,21.00,2
0x107010249018591604251877,1515673554.121,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673554.502,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673554.554,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673554.834,0,-32,0,3,21.00,2
0x107010249018591604251877,1515673555.601,0,-32,0,3,21.00,2
0x107010249018591604251877,1515673555.643,0,-32,0,3,21.00,2
0x107010249018591604251877,1515673556.507,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673556.567,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673556.836,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673556.890,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673557.156,0,-30,0,3,21.00,2
0x107010249018591604251877,1515673557.190,0,-30,0,3,21.00,2
0x107010249018591604251877,1515673557.551,0,-30,0,3,21.00,2
0x107010249018591604251877,1515673557.852,0,-31,0,3,21.00,2
0x107010249018591604251877,1515673557.916,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673558.249,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673558.317,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673558.679,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673559.015,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673559.054,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673559.428,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673559.493,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673559.849,0,-30,0,4,21.00,2
0x107010249018591604251877,1515673559.872,0,-30,0,4,21.00,2
0x107010249722621700351875,1515673550.309,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673550.720,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673550.782,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673551.232,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673551.527,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673551.868,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673551.918,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673552.178,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673552.236,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673552.615,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673552.664,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673553.028,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673553.073,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673553.421,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673553.747,0,-33,0,2,21.00,2
0x107010249722621700351875,1515673554.090,0,-33,0,3,21.00,2
0x107010249722621700351875,1515673554.542,0,-33,0,3,21.00,2
0x107010249722621700351875,1515673554.822,0,-34,0,3,21.00,2
0x107010249722621700351875,1515673554.860,0,-34,0,3,21.00,2
0x107010249722621700351875,1515673557.143,0,-33,0,3,21.00,2
0x107010249722621700351875,1515673557.215,0,-33,0,3,21.00,2
0x107010249722621700351875,1515673557.589,0,-33,0,3,21.00,2
0x107010249722621700351875,1515673557.883,0,-33,0,4,21.00,2
0x107010249722621700351875,1515673558.688,0,-33,0,4,21.00,2
0x107010249722621700351875,1515673559.066,0,-33,0,4,21.00,2
0x107010249722621700351875,1515673559.419,0,-33,0,4,21.00,2
0x000000000000000000006181,1515673550.313,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673550.370,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673550.427,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673550.483,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673550.536,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673550.597,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673550.646,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673550.695,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673550.743,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673550.796,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673550.863,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673550.926,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673551.118,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673551.250,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673551.295,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673551.353,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673551.407,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673551.490,0,-24,0,2,21.00,2
0x000000000000000000006181,1515673551.551,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673551.594,0,-24,0,2,21.00,3
0x000000000000000000006181,1515673551.648,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673551.691,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673551.755,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673551.817,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673551.854,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673551.903,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673551.955,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673552.009,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673552.061,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673552.115,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673552.159,0,-24,0,2,21.00,2
0x000000000000000000006181,1515673552.202,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673552.262,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673552.309,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673552.425,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673552.495,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673552.542,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673552.596,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673552.640,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673552.693,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673552.748,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673552.797,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673552.837,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673552.916,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673552.947,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673552.999,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673553.046,0,-23,0,2,21.00,2
0x000000000000000000006181,1515673553.100,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673553.144,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673553.197,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673553.237,0,-26,0,2,21.00,4
0x000000000000000000006181,1515673553.324,0,-31,0,2,21.00,1
0x000000000000000000006181,1515673553.489,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673553.529,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673553.624,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673553.726,0,-24,0,2,21.00,2
0x000000000000000000006181,1515673553.785,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673553.877,0,-25,0,2,21.00,3
0x000000000000000000006181,1515673553.933,0,-26,0,2,21.00,4
0x000000000000000000006181,1515673553.984,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673554.064,0,-22,0,3,21.00,2
0x000000000000000000006181,1515673554.110,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673554.167,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673554.208,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673554.270,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673554.327,0,-27,0,3,21.00,4
0x000000000000000000006181,1515673554.413,0,-31,0,3,21.00,1
0x000000000000000000006181,1515673554.442,0,-31,0,3,21.00,1
0x000000000000000000006181,1515673554.483,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673554.531,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673554.587,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673554.628,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673554.681,0,-27,0,3,21.00,4
0x000000000000000000006181,1515673554.732,0,-27,0,3,21.00,4
0x000000000000000000006181,1515673554.792,0,-22,0,3,21.00,2
0x000000000000000000006181,1515673554.839,0,-22,0,3,21.00,2
0x000000000000000000006181,1515673554.896,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673554.939,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673555.005,0,-27,0,3,21.00,4
0x000000000000000000006181,1515673555.086,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673555.163,0,-31,0,3,21.00,1
0x000000000000000000006181,1515673555.204,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673555.240,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673555.288,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673555.336,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673555.387,0,-27,0,3,21.00,4
0x000000000000000000006181,1515673555.430,0,-27,0,3,21.00,4
0x000000000000000000006181,1515673555.519,0,-31,0,3,21.00,1
0x000000000000000000006181,1515673555.582,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673555.622,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673555.676,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673555.727,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673555.786,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673555.840,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673555.896,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673555.922,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673555.971,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673556.026,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673556.181,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673556.219,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673556.266,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673556.303,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673556.372,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673556.427,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673556.485,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673556.532,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673556.587,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673556.644,0,-25,0,3,21.00,3
0x000000000000000000006181,1515673556.704,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673556.747,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673556.809,0,-23,0,3,21.00,2
0x000000000000000000006181,1515673556.862,0,-22,0,3,21.00,2
0x000000000000000000006181,1515673556.916,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673556.965,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673557.023,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673557.072,0,-29,0,3,21.00,4
0x000000000000000000006181,1515673557.167,0,-24,0,3,21.00,2
0x000000000000000000006181,1515673557.231,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673557.279,0,-24,0,3,21.00,3
0x000000000000000000006181,1515673557.329,0,-28,0,3,21.00,4
0x000000000000000000006181,1515673557.461,0,-28,0,3,21.00,1
