MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:26:45 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006181,1515673592.225,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673592.268,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673592.323,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673592.379,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673592.438,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673592.481,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673592.542,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673592.596,0,-21,0,2,21.00,4
0x000000000000000000006181,1515673592.653,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673592.697,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673592.760,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673592.807,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673592.848,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673592.894,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673592.957,0,-21,0,2,21.00,4
0x000000000000000000006181,1515673592.999,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673593.053,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673593.159,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673593.206,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673593.262,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673593.319,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673593.376,0,-21,0,2,21.00,4
0x000000000000000000006181,1515673593.429,0,-21,0,2,21.00,4
0x000000000000000000006181,1515673593.489,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673593.562,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673593.592,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673593.645,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673593.698,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673593.754,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673593.807,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673593.852,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673593.909,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673593.961,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673594.008,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673594.053,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673594.110,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673594.157,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673594.209,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673594.254,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673594.303,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673594.385,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673594.449,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673594.504,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673594.554,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673594.608,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673594.648,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673594.741,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673594.806,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673594.855,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673594.911,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673594.951,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673595.007,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673595.065,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673595.118,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673595.205,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673595.268,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673595.326,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673595.375,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673595.427,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673595.471,0,-20,0,2,21.00,4
0x000000000000000000006181,1515673595.529,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673595.587,0,-27,0,2,21.00,1
0x000000000000000000006181,1515673595.628,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673595.674,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673595.726,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673595.760,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673595.812,0,-21,0,2,21.00,4
0x000000000000000000006181,1515673595.859,0,-21,0,2,21.00,4
0x000000000000000000006181,1515673595.914,0,-26,0,2,21.00,1
0x000000000000000000006181,1515673595.961,0,-26,0,2,21.00,1
