MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:18:53 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006181,1515673119.611,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673119.665,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673119.928,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673119.971,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673120.248,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673120.295,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673120.555,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673120.602,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673120.863,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673120.921,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673121.167,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673121.217,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673121.556,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673121.603,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673121.877,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673121.920,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673122.297,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673122.343,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673122.610,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673122.657,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673122.924,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673122.969,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673123.211,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673123.257,0,-20,0,2,21.00,2
0x000000000000000000006181,1515673123.546,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673123.589,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673123.857,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673123.903,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673124.152,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673124.188,0,-20,0,3,21.00,2
0x000000000000000000006181,1515673124.431,0,-20,0,3,21.00,2
