MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:19:12 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515673138.958,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673139.004,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673139.086,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673139.178,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673139.204,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673139.582,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673139.962,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.001,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.061,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673140.095,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673140.148,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.206,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.367,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.415,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673140.482,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673140.560,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.605,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.701,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673140.786,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673140.816,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673140.967,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.044,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673141.104,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673141.182,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.215,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.380,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.469,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673141.556,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673141.602,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.637,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.738,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673141.814,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673141.892,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673141.970,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673142.029,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.080,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.247,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.293,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.359,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673142.398,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673142.451,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.499,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.697,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673142.718,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673142.796,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673142.850,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673142.914,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673142.945,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673143.002,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.051,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.109,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673143.141,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673143.232,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.309,0,-28,0,3,21.00,3
0x107010349013305354381889,1515673143.358,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673143.444,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.490,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.542,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673143.588,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673143.664,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.696,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673143.763,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673143.820,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673143.969,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.015,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.090,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673144.130,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673144.177,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.230,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.415,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673144.451,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.547,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673144.625,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.905,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673144.967,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673145.031,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.092,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.136,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673145.179,0,-28,0,3,21.00,3
0x107010349013305354381889,1515673145.275,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.441,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673145.493,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673145.563,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.621,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.667,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673145.710,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673145.788,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.819,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673145.884,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673145.949,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673146.106,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673146.164,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673146.311,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673146.380,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673146.445,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673146.504,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673146.590,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673146.679,0,-31,0,4,21.00,4
0x107010349013305354381889,1515673146.758,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673146.936,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673147.007,0,-31,0,4,21.00,3
0x107010349013305354381889,1515673147.039,0,-31,0,4,21.00,3
0x107010349013305354381889,1515673147.192,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673147.393,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673147.439,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673147.502,0,-31,0,4,21.00,4
0x107010349013305354381889,1515673147.563,0,-31,0,4,21.00,4
0x107010349013305354381889,1515673147.733,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673147.935,0,-31,0,4,21.00,3
0x107010349013305354381889,1515673148.203,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673148.277,0,-31,0,4,21.00,3
0x107010349013305354381889,1515673148.327,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673148.459,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673148.639,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673148.756,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673148.820,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673148.902,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673148.960,0,-31,0,4,21.00,4
0x107010349013305354381889,1515673149.028,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673149.082,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673149.129,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673149.300,0,-30,0,4,21.00,3
0x107010145263633097591872,1515673138.975,0,-34,0,2,21.00,3
0x107010145263633097591872,1515673139.329,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673139.499,0,-34,0,2,21.00,3
0x107010145263633097591872,1515673139.572,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673139.626,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673139.983,0,-34,0,2,21.00,3
0x107010145263633097591872,1515673140.501,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673141.092,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673141.147,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673141.565,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673141.782,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673141.979,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673142.074,0,-33,0,2,21.00,3
0x107010145263633097591872,1515673142.286,0,-34,0,2,21.00,3
0x107010145263633097591872,1515673142.368,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673142.418,0,-32,0,2,21.00,4
0x107010145263633097591872,1515673142.758,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673142.820,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673143.350,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673143.654,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673143.832,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673143.936,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673144.052,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673144.145,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673144.352,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673144.524,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673144.583,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673145.264,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673145.321,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673145.515,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673145.575,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673145.604,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673145.681,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673145.746,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673145.798,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673146.121,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673146.188,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673146.255,0,-33,0,3,21.00,4
0x107010145263633097591872,1515673146.340,0,-34,0,3,21.00,3
0x107010145263633097591872,1515673146.603,0,-34,0,4,21.00,3
0x107010145263633097591872,1515673146.786,0,-34,0,4,21.00,3
0x107010145263633097591872,1515673146.827,0,-34,0,4,21.00,3
0x107010145263633097591872,1515673146.885,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673147.349,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673147.799,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673147.863,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.063,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.337,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.537,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.572,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.673,0,-34,0,4,21.00,3
0x107010145263633097591872,1515673148.746,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.794,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673148.890,0,-34,0,4,21.00,3
0x107010145263633097591872,1515673149.210,0,-33,0,4,21.00,4
0x107010145263633097591872,1515673149.267,0,-33,0,4,21.00,4
0x107010449013305354211896,1515673138.986,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673139.020,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673139.189,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673139.225,0,-33,0,2,21.00,3
