MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:06:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515672359.788,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672359.814,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672359.893,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672359.937,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672359.984,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672360.030,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672360.189,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672360.228,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672360.299,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672360.351,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672360.397,0,-28,0,2,21.00,3
0x107010349013305354381889,1515672360.444,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672360.542,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672360.622,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672360.667,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672360.973,0,-28,0,2,21.00,3
0x107010349013305354381889,1515672361.019,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672361.093,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672361.139,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672361.193,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672361.253,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672361.329,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672361.412,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672361.477,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672361.542,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672361.697,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672361.731,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672361.804,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672361.856,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672361.926,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672361.977,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.040,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672362.100,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672362.155,0,-28,0,2,21.00,3
0x107010349013305354381889,1515672362.199,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.368,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.421,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.505,0,-31,0,2,21.00,4
0x107010349013305354381889,1515672362.558,0,-31,0,2,21.00,4
0x107010349013305354381889,1515672362.671,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.715,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.866,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672362.911,0,-28,0,2,21.00,3
0x107010349013305354381889,1515672363.066,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672363.150,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672363.245,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672363.290,0,-28,0,2,21.00,3
0x107010349013305354381889,1515672363.337,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672363.419,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672363.467,0,-32,0,2,21.00,4
0x107010349013305354381889,1515672363.515,0,-28,0,2,21.00,3
0x107010349013305354381889,1515672363.640,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672363.721,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672363.786,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672363.902,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672364.064,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672364.137,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672364.193,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672364.235,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672364.271,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672364.463,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672364.482,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672364.579,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672364.702,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672364.951,0,-28,0,3,21.00,3
0x107010349013305354381889,1515672364.998,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672365.073,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672365.141,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672365.288,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672365.368,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672365.429,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672365.571,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672365.637,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672365.705,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672365.760,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672365.806,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.081,0,-28,0,3,21.00,3
0x107010349013305354381889,1515672366.125,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.232,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672366.313,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.355,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.425,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672366.474,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672366.521,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.563,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.643,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672366.711,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672366.759,0,-28,0,3,21.00,3
0x107010349013305354381889,1515672366.818,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672366.909,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672367.072,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672367.153,0,-28,0,3,21.00,3
0x107010349013305354381889,1515672367.237,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672367.315,0,-32,0,3,21.00,4
0x107010349013305354381889,1515672367.464,0,-33,0,4,21.00,2
0x107010349013305354381889,1515672367.508,0,-33,0,4,21.00,2
0x107010349013305354381889,1515672367.526,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672367.571,0,-28,0,4,21.00,3
0x107010349013305354381889,1515672367.666,0,-33,0,4,21.00,4
0x107010349013305354381889,1515672367.756,0,-33,0,4,21.00,2
0x107010349013305354381889,1515672367.789,0,-33,0,4,21.00,2
0x107010349013305354381889,1515672367.829,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672367.874,0,-28,0,4,21.00,3
0x107010349013305354381889,1515672367.960,0,-33,0,4,21.00,2
0x107010349013305354381889,1515672368.020,0,-33,0,4,21.00,2
