MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:08:29 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515672495.074,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672495.110,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672495.563,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672495.608,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672495.830,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672495.864,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672496.161,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672496.197,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.084,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.123,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.292,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.331,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.699,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.739,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672497.987,0,-32,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515672498.023,0,-31,0,2,21.00,1
0x107010249018591604251877,1515672495.158,0,-31,0,2,21.00,2
0x107010249018591604251877,1515672495.192,0,-31,0,2,21.00,2
0x107010249018591604251877,1515672498.388,0,-31,0,2,21.00,2
0x107010249018591604251877,1515672498.436,0,-31,0,2,21.00,2
0x107010249018591604251877,1515672498.702,0,-31,0,2,21.00,2
0x107010249018591604251877,1515672498.742,0,-31,0,2,21.00,2
0x107010249018591604251877,1515672500.908,0,-31,0,3,21.00,2
0x107010249018591604251877,1515672500.946,0,-31,0,3,21.00,2
0x107010349013305354381889,1515672495.224,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672495.273,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672495.341,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672495.379,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672495.455,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672495.518,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672495.695,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672495.763,0,-30,0,2,21.00,3
