MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 4:43:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514446981.123,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446981.185,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446981.220,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446981.302,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446981.478,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446981.719,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446981.795,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446981.846,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446981.987,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446982.042,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446982.121,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446982.282,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446982.355,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446982.537,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446982.588,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446982.645,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446982.788,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446982.865,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446982.900,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446982.967,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446983.156,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446983.410,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446983.582,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446983.611,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446983.863,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446983.964,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446984.143,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446984.184,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446984.251,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446984.447,0,-32,0,3,21.00,3
0x000000000000000000001108,1514446984.547,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446984.725,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446984.787,0,-33,0,3,21.00,4
0x000000000000000000001108,1514446984.911,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446985.155,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446985.306,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446985.481,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446985.527,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446985.674,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446985.734,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446985.878,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446985.933,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446986.033,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446986.207,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446986.442,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446986.490,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446986.536,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446986.602,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446986.692,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446986.932,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446987.000,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446987.458,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446987.508,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446987.570,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446987.736,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446987.805,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446987.864,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446988.039,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446988.268,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446988.461,0,-32,0,4,21.00,3
0x000000000000000000001108,1514446988.563,0,-33,0,4,21.00,4
0x000000000000000000001108,1514446989.212,0,-32,0,1,21.00,3
0x000000000000000000001108,1514446989.957,0,-32,0,1,21.00,3
0x000000000000000000001108,1514446990.240,0,-32,0,1,21.00,3
0x000000000000000000001108,1514446990.302,0,-32,0,1,21.00,3
0x000000000000000000001108,1514446990.569,0,-32,0,1,21.00,3
0x000000000000000000001108,1514446990.611,0,-32,0,1,21.00,3
0x000000000000000000001105,1514446981.136,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446981.166,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446981.697,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446981.764,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446982.023,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446982.483,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446983.293,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446983.347,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446983.844,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446983.904,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446984.195,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446984.494,0,-33,0,3,21.00,3
0x000000000000000000001105,1514446984.922,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446985.213,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446985.370,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446985.435,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446985.918,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446986.457,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446986.646,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446986.705,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446987.705,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446988.186,0,-33,0,4,21.00,3
0x000000000000000000001105,1514446989.417,0,-34,0,1,21.00,3
0x000000000000000000001105,1514446989.469,0,-34,0,1,21.00,3
0x000000000000000000001105,1514446989.948,0,-34,0,1,21.00,3
0x000000000000000000001105,1514446989.980,0,-34,0,1,21.00,3
0x000000000000000000001105,1514446990.262,0,-34,0,1,21.00,3
0x000000000000000000001107,1514446981.146,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446981.424,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446981.466,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446981.709,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446981.751,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446981.978,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446982.033,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446982.799,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446983.314,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446983.591,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446983.853,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446983.894,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446984.130,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446984.174,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446984.435,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446984.470,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446984.871,0,-32,0,3,21.00,3
0x000000000000000000001107,1514446985.165,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446985.222,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446985.419,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446986.152,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446986.218,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446986.501,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446986.717,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446986.974,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446987.409,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446987.468,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446987.745,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446988.168,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446988.448,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446988.484,0,-32,0,4,21.00,3
0x000000000000000000001107,1514446989.195,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446989.232,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446989.431,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446989.933,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446989.994,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446990.252,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446990.292,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446990.553,0,-32,0,1,21.00,3
0x000000000000000000001107,1514446990.602,0,-32,0,1,21.00,3
0x000000000000000000006191,1514446981.203,0,-27,0,3,21.00,4
0x000000000000000000006191,1514446981.256,0,-25,0,3,21.00,4
0x000000000000000000006191,1514446981.339,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446981.380,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446981.443,0,-33,0,3,21.00,3
0x000000000000000000006191,1514446981.502,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446981.548,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446981.640,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446981.781,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446981.822,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446981.906,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446981.938,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446982.057,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446982.106,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446982.188,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446982.237,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446982.266,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446982.317,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446982.381,0,-24,0,3,21.00,2
0x000000000000000000006191,1514446982.412,0,-25,0,3,21.00,2
0x000000000000000000006191,1514446982.458,0,-33,0,3,21.00,3
0x000000000000000000006191,1514446982.547,0,-32,0,3,21.00,3
0x000000000000000000006191,1514446982.615,0,-25,0,3,21.00,4
0x000000000000000000006191,1514446982.700,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446982.740,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446982.778,0,-32,0,3,21.00,3
0x000000000000000000006191,1514446982.856,0,-33,0,3,21.00,3
0x000000000000000000006191,1514446982.884,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446982.927,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446983.004,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446983.048,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446983.086,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446983.135,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446983.224,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446983.253,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446983.305,0,-32,0,3,21.00,3
0x000000000000000000006191,1514446983.334,0,-33,0,3,21.00,3
0x000000000000000000006191,1514446983.376,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446983.414,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446983.495,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446983.628,0,-33,0,3,21.00,3
0x000000000000000000006191,1514446983.651,0,-25,0,3,21.00,4
0x000000000000000000006191,1514446983.688,0,-27,0,3,21.00,4
0x000000000000000000006191,1514446983.776,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446983.917,0,-27,0,3,21.00,4
0x000000000000000000006191,1514446983.969,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.050,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446984.084,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446984.208,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.260,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.343,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446984.509,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.554,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.639,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446984.671,0,-26,0,3,21.00,2
0x000000000000000000006191,1514446984.714,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.751,0,-26,0,3,21.00,4
0x000000000000000000006191,1514446984.861,0,-33,0,3,21.00,3
0x000000000000000000006191,1514446984.898,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446984.937,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446984.990,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.075,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446985.113,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446985.180,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446985.238,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.286,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.380,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446985.409,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446985.451,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.496,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.581,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446985.613,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446985.656,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.703,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446985.783,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446985.818,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446985.887,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446985.950,0,-25,0,4,21.00,4
0x000000000000000000006191,1514446985.986,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446986.079,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446986.115,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446986.162,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446986.192,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446986.232,0,-25,0,4,21.00,4
0x000000000000000000006191,1514446986.277,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446986.356,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446986.387,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446986.518,0,-25,0,4,21.00,4
0x000000000000000000006191,1514446986.561,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446986.658,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446986.778,0,-25,0,4,21.00,4
0x000000000000000000006191,1514446986.847,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446986.893,0,-26,0,4,21.00,2
0x000000000000000000006191,1514446986.955,0,-32,0,4,21.00,3
0x000000000000000000006191,1514446987.014,0,-25,0,4,21.00,4
0x000000000000000000006191,1514446987.060,0,-26,0,4,21.00,4
0x000000000000000000006191,1514446987.139,0,-26,0,4,21.00,2
