MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 4:40:05 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1514446791.166,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446791.193,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446791.228,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446791.266,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446791.316,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446791.360,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446791.418,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446791.471,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446791.526,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446791.552,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446791.597,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446791.639,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446791.682,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446791.724,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446791.775,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446791.821,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446791.874,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446791.903,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446791.941,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446791.966,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446792.006,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446792.066,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446792.117,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446792.158,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446792.214,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446792.251,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446792.315,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446792.354,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446792.398,0,-20,0,3,21.00,3
0x000000000000000000006191,1514446792.450,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446792.512,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446792.551,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446792.607,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446792.636,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446792.671,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446792.725,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446792.772,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446792.819,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446792.874,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446792.915,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446792.969,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446793.012,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446793.072,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446793.114,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446793.161,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446793.202,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446793.258,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446793.304,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446793.359,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446793.419,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446793.477,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446793.517,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446793.563,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446793.608,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446793.668,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446793.716,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446793.771,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446793.810,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446793.867,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446793.911,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446793.956,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446793.999,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446794.058,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446794.103,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446794.162,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446794.202,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446794.256,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446794.286,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446794.339,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446794.396,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446794.458,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446794.495,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446794.551,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446794.620,0,-20,0,3,21.00,1
0x000000000000000000006191,1514446794.720,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446794.756,0,-18,0,3,21.00,2
0x000000000000000000006191,1514446794.805,0,-21,0,3,21.00,3
0x000000000000000000006191,1514446794.847,0,-20,0,3,21.00,3
0x000000000000000000006191,1514446794.898,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446794.939,0,-17,0,3,21.00,4
0x000000000000000000006191,1514446795.025,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446795.051,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446795.085,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446795.117,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446795.153,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446795.199,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446795.253,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446795.290,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446795.342,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446795.373,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446795.407,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446795.441,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446795.490,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446795.539,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446795.593,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446795.638,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446795.698,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446795.724,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446795.760,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446795.800,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446795.861,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446795.906,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446795.961,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446796.001,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446796.055,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446796.085,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446796.119,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446796.155,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446796.207,0,-22,0,4,21.00,3
0x000000000000000000006191,1514446796.260,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446796.316,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446796.363,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446796.416,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446796.443,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446796.482,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446796.508,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446796.554,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446796.598,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446796.651,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446796.704,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446796.757,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446796.785,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446796.824,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446796.860,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446796.906,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446796.955,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446797.007,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446797.050,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446797.104,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446797.133,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446797.169,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446797.210,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446797.256,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446797.294,0,-22,0,4,21.00,3
0x000000000000000000006191,1514446797.354,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446797.402,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446797.456,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446797.485,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446797.520,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446797.547,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446797.594,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446797.645,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446797.705,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446797.748,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446797.791,0,-20,0,4,21.00,1
0x000000000000000000006191,1514446797.817,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446797.855,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446797.901,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446797.950,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446798.008,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446798.059,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446798.124,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446798.179,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446798.203,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446798.236,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446798.264,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446798.310,0,-22,0,4,21.00,3
0x000000000000000000006191,1514446798.355,0,-22,0,4,21.00,3
0x000000000000000000006191,1514446798.418,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446798.462,0,-17,0,4,21.00,4
0x000000000000000000006191,1514446798.521,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446798.550,0,-21,0,4,21.00,1
0x000000000000000000006191,1514446798.586,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446798.621,0,-18,0,4,21.00,2
0x000000000000000000006191,1514446798.672,0,-22,0,4,21.00,3
0x000000000000000000006191,1514446798.726,0,-21,0,4,21.00,3
0x000000000000000000006191,1514446798.803,0,-17,0,1,21.00,4
0x000000000000000000006191,1514446798.841,0,-17,0,1,21.00,4
0x000000000000000000006191,1514446798.896,0,-20,0,1,21.00,1
0x000000000000000000006191,1514446799.033,0,-20,0,1,21.00,1
0x000000000000000000006191,1514446799.062,0,-18,0,1,21.00,2
0x000000000000000000006191,1514446799.101,0,-18,0,1,21.00,2
0x000000000000000000006191,1514446799.136,0,-20,0,1,21.00,3
0x000000000000000000006191,1514446799.182,0,-20,0,1,21.00,3
0x000000000000000000006191,1514446799.231,0,-17,0,1,21.00,4
0x000000000000000000006191,1514446799.278,0,-17,0,1,21.00,4
0x000000000000000000006191,1514446799.324,0,-20,0,1,21.00,1
0x000000000000000000006191,1514446799.357,0,-20,0,1,21.00,1
0x000000000000000000006191,1514446799.487,0,-18,0,1,21.00,2
0x000000000000000000006191,1514446799.520,0,-18,0,1,21.00,2
0x000000000000000000006191,1514446799.566,0,-20,0,1,21.00,3
0x000000000000000000006191,1514446799.614,0,-20,0,1,21.00,3
0x000000000000000000006191,1514446799.676,0,-17,0,1,21.00,4
0x000000000000000000006191,1514446799.721,0,-17,0,1,21.00,4
0x000000000000000000006191,1514446799.772,0,-20,0,1,21.00,1
0x000000000000000000006191,1514446799.994,0,-20,0,1,21.00,1
0x000000000000000000006191,1514446800.038,0,-18,0,1,21.00,2
0x000000000000000000006191,1514446800.076,0,-18,0,1,21.00,2
0x000000000000000000006191,1514446800.115,0,-20,0,1,21.00,3
0x000000000000000000006191,1514446800.159,0,-20,0,1,21.00,3
