MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:03:39 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1514448203.905,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448203.946,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448203.983,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448204.028,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448204.073,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448204.149,0,-30,0,3,21.00,4
0x000000000000000000006191,1514448204.264,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448204.310,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448204.346,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448204.392,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448204.442,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448204.523,0,-30,0,3,21.00,4
0x000000000000000000006191,1514448204.625,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448204.660,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448204.708,0,-24,0,3,21.00,2
0x000000000000000000006191,1514448204.753,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448204.799,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448204.980,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448205.003,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448205.038,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448205.085,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448205.139,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448205.181,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448205.346,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448205.377,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448205.411,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448205.458,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448205.517,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448205.564,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448205.731,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448205.748,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448205.795,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448205.840,0,-24,0,3,21.00,2
0x000000000000000000006191,1514448205.891,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448205.939,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448206.102,0,-28,0,3,21.00,1
0x000000000000000000006191,1514448206.148,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448206.175,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448206.223,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448206.300,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448206.328,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448206.492,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448206.554,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448206.601,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448206.656,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448206.744,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448206.893,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448206.929,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448206.980,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448207.033,0,-29,0,3,21.00,3
0x000000000000000000006191,1514448207.059,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448207.247,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448207.259,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448207.294,0,-24,0,3,21.00,2
0x000000000000000000006191,1514448207.341,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448207.395,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448207.441,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448207.590,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448207.621,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448207.655,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448207.716,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448207.818,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448207.988,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448208.014,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448208.096,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448208.154,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448208.196,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448208.357,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448208.384,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448208.418,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448208.468,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448208.520,0,-26,0,4,21.00,3
0x000000000000000000006191,1514448208.567,0,-28,0,4,21.00,3
0x000000000000000000006191,1514448208.718,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448208.769,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448208.795,0,-22,0,4,21.00,2
0x000000000000000000006191,1514448208.843,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448208.897,0,-28,0,4,21.00,3
0x000000000000000000006191,1514448208.936,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448209.097,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448209.122,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448209.160,0,-24,0,4,21.00,2
0x000000000000000000006191,1514448209.204,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448209.268,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448209.316,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448209.473,0,-28,0,4,21.00,1
0x000000000000000000006191,1514448209.500,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448209.531,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448209.588,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448209.641,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448209.685,0,-27,0,4,21.00,3
0x000000000000000000006191,1514448209.867,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448209.894,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448209.927,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448209.978,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448210.038,0,-27,0,4,21.00,3
