MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:17:54 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1514449059.743,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449059.787,0,-25,0,2,21.00,2
0x000000000000000000006191,1514449059.836,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449059.898,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449059.933,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449059.985,0,-26,0,2,21.00,4
0x000000000000000000006191,1514449060.032,0,-26,0,2,21.00,4
0x000000000000000000006191,1514449060.089,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449060.115,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449060.156,0,-25,0,2,21.00,2
0x000000000000000000006191,1514449060.201,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449060.267,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449060.322,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449060.399,0,-27,0,2,21.00,4
0x000000000000000000006191,1514449060.414,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449060.471,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449060.500,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449060.539,0,-25,0,2,21.00,2
0x000000000000000000006191,1514449060.581,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449060.624,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449060.686,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449060.735,0,-26,0,2,21.00,4
0x000000000000000000006191,1514449060.805,0,-27,0,2,21.00,4
0x000000000000000000006191,1514449060.829,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449060.858,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449060.897,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449060.943,0,-25,0,2,21.00,2
0x000000000000000000006191,1514449061.005,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449061.048,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449061.106,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449061.153,0,-26,0,2,21.00,4
0x000000000000000000006191,1514449061.211,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449061.265,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449061.312,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449061.355,0,-25,0,2,21.00,2
0x000000000000000000006191,1514449061.411,0,-27,0,2,21.00,3
0x000000000000000000006191,1514449061.455,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449061.513,0,-27,0,2,21.00,4
0x000000000000000000006191,1514449061.580,0,-27,0,2,21.00,4
0x000000000000000000006191,1514449061.611,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449061.636,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449061.674,0,-25,0,2,21.00,2
0x000000000000000000006191,1514449061.720,0,-26,0,2,21.00,2
0x000000000000000000006191,1514449061.782,0,-27,0,2,21.00,3
0x000000000000000000006191,1514449061.835,0,-26,0,2,21.00,3
